Addendum BB -- Final ASC Covered Ancillary Services Integral to Covered Surgical Procedures for CY 2021 (Including Ancillary Services for Which Payment is Packaged)							
CPT codes and descriptions only are copyright 2020 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2020 American Dental Association.  All Rights Reserved.							
							
HCPCS Code		Short Descriptor	CY 2021 Comment Indicator	Drug Pass-Through Expiration during Calendar Year	Final CY 2021 Payment Indicator	Final CY 2021 Payment Weight  	Final CY 2021 Payment Rate 
70555		Fmri brain by phys/psych			Z2	2.3756	$116.29
70557		Mri brain w/o dye			Z2	4.9848	$244.02
70558		Mri brain w/dye			Z2	1.8432	$90.23
70559		Mri brain w/o & w/dye			Z2	1.8432	$90.23
71045		X-ray exam chest 1 view			Z3		$16.75
71046		X-ray exam chest 2 views			Z3		$23.03
71047		X-ray exam chest 3 views			N1		
71048		X-ray exam chest 4+ views			N1		
71100		X-ray exam ribs uni 2 views			N1		
71101		X-ray exam unilat ribs/chest			N1		
71110		X-ray exam ribs bil 3 views			N1		
71111		X-ray exam ribs/chest4/> vws			N1		
71120		X-ray exam breastbone 2/>vws			N1		
71130		X-ray strenoclavic jt 3/>vws			N1		
71250		Ct thorax w/o dye			Z2	1.1249	$55.07
71260		Ct thorax w/dye			Z2	1.8432	$90.23
71270		Ct thorax w/o & w/dye			Z2	1.8432	$90.23
71275		Ct angiography chest			Z2	1.8432	$90.23
71550		Mri chest w/o dye			Z2	2.3756	$116.29
71551		Mri chest w/dye	CH		Z3		$349.63
71552		Mri chest w/o & w/dye			Z2	3.8000	$186.02
72020		X-ray exam of spine 1 view			N1		
72040		X-ray exam neck spine 2-3 vw			N1		
72050		X-ray exam neck spine 4/5vws			N1		
72052		X-ray exam neck spine 6/>vws			N1		
72070		X-ray exam thorac spine 2vws			N1		
72072		X-ray exam thorac spine 3vws			N1		
72074		X-ray exam thorac spine4/>vw			N1		
72080		X-ray exam thoracolmb 2/> vw			N1		
72081		X-ray exam entire spi 1 vw			N1		
72082		X-ray exam entire spi 2/3 vw			N1		
72083		X-ray exam entire spi 4/5 vw			Z2	1.1249	$55.07
72084		X-ray exam entire spi 6/> vw			Z2	1.1249	$55.07
72100		X-ray exam l-s spine 2/3 vws			N1		
72110		X-ray exam l-2 spine 4/>vws			N1		
72114		X-ray exam l-s spine bending			N1		
72120		X-ray bend only l-s spine			N1		
72125		Ct neck spine w/o dye			Z2	1.1249	$55.07
72126		Ct neck spine w/dye			Z3		$126.31
72127		Ct neck spine w/o & w/dye			Z2	1.8432	$90.23
72128		Ct chest spine w/o dye			Z2	1.1249	$55.07
72129		Ct chest spine w/dye			Z2	1.8432	$90.23
72130		Ct chest spine w/o & w/dye			Z2	1.8432	$90.23
72131		Ct lumbar spine w/o dye			Z2	1.1249	$55.07
72132		Ct lumbar spine w/dye			Z3		$126.31
72133		Ct lumbar spine w/o & w/dye			Z2	1.8432	$90.23
72141		Mri neck spine w/o dye			Z2	2.3756	$116.29
72142		Mri neck spine w/dye			Z2	3.8000	$186.02
72146		Mri chest spine w/o dye			Z2	2.3756	$116.29
72147		Mri chest spine w/dye			Z2	3.8000	$186.02
72148		Mri lumbar spine w/o dye			Z2	2.3756	$116.29
72149		Mri lumbar spine w/dye			Z2	3.8000	$186.02
72156		Mri neck spine w/o & w/dye			Z2	3.8000	$186.02
72157		Mri chest spine w/o & w/dye			Z2	3.8000	$186.02
72158		Mri lumbar spine w/o & w/dye			Z2	3.8000	$186.02
72170		X-ray exam of pelvis			N1		
72190		X-ray exam of pelvis			N1		
72191		Ct angiograph pelv w/o&w/dye			Z2	1.8432	$90.23
72192		Ct pelvis w/o dye			Z2	1.1249	$55.07
72193		Ct pelvis w/dye			Z2	1.8432	$90.23
72194		Ct pelvis w/o & w/dye			Z2	1.8432	$90.23
72195		Mri pelvis w/o dye			Z2	2.3756	$116.29
72196		Mri pelvis w/dye			Z2	3.8000	$186.02
72197		Mri pelvis w/o & w/dye			Z2	3.8000	$186.02
72200		X-ray exam si joints			N1		
72202		X-ray exam si joints 3/> vws			N1		
72220		X-ray exam sacrum tailbone			N1		
72240		Myelography neck spine			N1		
72255		Myelography thoracic spine			N1		
72265		Myelography l-s spine			N1		
72270		Myelogphy 2/> spine regions			N1		
72275		Epidurography			N1		
72285		Discography cerv/thor spine			N1		
72295		X-ray of lower spine disk			N1		
73000		X-ray exam of collar bone			N1		
73010		X-ray exam of shoulder blade			N1		
73020		X-ray exam of shoulder			N1		
73030		X-ray exam of shoulder			N1		
73040		Contrast x-ray of shoulder			N1		
73050		X-ray exam of shoulders			N1		
73060		X-ray exam of humerus			N1		
73070		X-ray exam of elbow			N1		
73080		X-ray exam of elbow			N1		
73085		Contrast x-ray of elbow			N1		
73090		X-ray exam of forearm			N1		
73092		X-ray exam of arm infant			N1		
73100		X-ray exam of wrist			N1		
73110		X-ray exam of wrist			N1		
73115		Contrast x-ray of wrist			N1		
73120		X-ray exam of hand			N1		
73130		X-ray exam of hand			N1		
73140		X-ray exam of finger(s)			N1		
73200		Ct upper extremity w/o dye			Z2	1.1249	$55.07
73201		Ct upper extremity w/dye			Z3		$168.53
73202		Ct uppr extremity w/o&w/dye			Z2	1.8432	$90.23
73206		Ct angio upr extrm w/o&w/dye			Z2	1.8432	$90.23
73218		Mri upper extremity w/o dye			Z2	2.3756	$116.29
73219		Mri upper extremity w/dye			Z2	3.8000	$186.02
73220		Mri uppr extremity w/o&w/dye			Z2	3.8000	$186.02
73221		Mri joint upr extrem w/o dye			Z2	2.3756	$116.29
73222		Mri joint upr extrem w/dye			Z3		$284.73
73223		Mri joint upr extr w/o&w/dye			Z2	3.8000	$186.02
73501		X-ray exam hip uni 1 view			N1		
73502		X-ray exam hip uni 2-3 views			N1		
73503		X-ray exam hip uni 4/> views			N1		
73521		X-ray exam hips bi 2 views			N1		
73522		X-ray exam hips bi 3-4 views			N1		
73523		X-ray exam hips bi 5/> views			N1		
73525		Contrast x-ray of hip			N1		
73551		X-ray exam of femur 1			N1		
73552		X-ray exam of femur 2/>			N1		
73560		X-ray exam of knee 1 or 2			N1		
73562		X-ray exam of knee 3			N1		
73564		X-ray exam knee 4 or more			N1		
73565		X-ray exam of knees			N1		
73580		Contrast x-ray of knee joint			N1		
73590		X-ray exam of lower leg			N1		
73592		X-ray exam of leg infant			N1		
73600		X-ray exam of ankle			N1		
73610		X-ray exam of ankle			N1		
73615		Contrast x-ray of ankle			N1		
73620		X-ray exam of foot			N1		
73630		X-ray exam of foot			N1		
73650		X-ray exam of heel			N1		
73660		X-ray exam of toe(s)			N1		
73700		Ct lower extremity w/o dye			Z2	1.1249	$55.07
73701		Ct lower extremity w/dye			Z2	1.8432	$90.23
73702		Ct lwr extremity w/o&w/dye			Z2	1.8432	$90.23
73706		Ct angio lwr extr w/o&w/dye			Z2	1.8432	$90.23
73718		Mri lower extremity w/o dye			Z2	2.3756	$116.29
73719		Mri lower extremity w/dye			Z2	3.8000	$186.02
73720		Mri lwr extremity w/o&w/dye			Z2	3.8000	$186.02
73721		Mri jnt of lwr extre w/o dye			Z2	2.3756	$116.29
73722		Mri joint of lwr extr w/dye			Z3		$285.43
73723		Mri joint lwr extr w/o&w/dye			Z2	3.8000	$186.02
74018		X-ray exam abdomen 1 view			N1		
74019		X-ray exam abdomen 2 views			N1		
74021		X-ray exam abdomen 3+ views			N1		
74022		X-ray exam complete abdomen			N1		
74150		Ct abdomen w/o dye			Z2	1.1249	$55.07
74160		Ct abdomen w/dye			Z2	1.8432	$90.23
74170		Ct abdomen w/o & w/dye			Z2	1.8432	$90.23
74174		Ct angio abd&pelv w/o&w/dye			Z2	3.8000	$186.02
74175		Ct angio abdom w/o & w/dye			Z2	1.8432	$90.23
74176		Ct abd & pelvis w/o contrast			Z3		$114.45
74177		Ct abd & pelv w/contrast			Z2	3.8000	$186.02
74178		Ct abd & pelv 1/> regns			Z2	3.8000	$186.02
74181		Mri abdomen w/o dye			Z2	2.3756	$116.29
74182		Mri abdomen w/dye			Z2	3.8000	$186.02
74183		Mri abdomen w/o & w/dye			Z2	3.8000	$186.02
74190		X-ray exam of peritoneum			N1		
74210		X-ray xm phrnx&/crv esoph c+			N1		
74220		X-ray xm esophagus 1cntrst			N1		
74230		X-ray xm swlng funcj c+			Z2	1.8432	$90.23
74235		Remove esophagus obstruction			N1		
74240		X-ray xm upr gi trc 1cntrst			Z3		$88.28
74246		X-ray xm upr gi trc 2cntrst			Z2	1.8432	$90.23
74250		X-ray xm sm int 1cntrst std			Z3		$88.28
74251		X-ray xm sm int 2cntrst std			Z2	1.8432	$90.23
74261		Ct colonography dx			Z2	1.1249	$55.07
74262		Ct colonography dx w/dye			Z2	1.8432	$90.23
74270		X-ray xm colon 1cntrst std			N1		
74280		X-ray xm colon 2cntrst std			N1		
74283		Ther nma rdctj intus/obstrcj			Z2	1.8432	$90.23
74290		Contrast x-ray gallbladder			N1		
74300		X-ray bile ducts/pancreas			N1		
74301		X-rays at surgery add-on			N1		
74328		X-ray bile duct endoscopy			N1		
74329		X-ray for pancreas endoscopy			N1		
74330		X-ray bile/panc endoscopy			N1		
74340		X-ray guide for gi tube			N1		
74355		X-ray guide intestinal tube			N1		
74360		X-ray guide gi dilation			N1		
74363		X-ray bile duct dilation			N1		
74400		Urography iv +-kub tomog			Z2	1.8432	$90.23
74410		Urography nfs drip&/bolus			Z2	1.8432	$90.23
74415		Urography nfs drip&/bls w/nf			Z2	1.8432	$90.23
74420		Urography rtrgr +-kub			Z2	3.8000	$186.02
74425		Contrst x-ray urinary tract			N1		
74430		Contrast x-ray bladder			N1		
74440		X-ray male genital tract			N1		
74445		X-ray exam of penis			N1		
74450		X-ray urethra/bladder			N1		
74455		X-ray urethra/bladder			N1		
74470		X-ray exam of kidney lesion			N1		
74485		Dilation urtr/urt rs&i			N1		
74710		X-ray measurement of pelvis			N1		
74712		Mri fetal sngl/1st gestation			Z2	2.3756	$116.29
74713		Mri fetal ea addl gestation			N1		
74740		X-ray female genital tract			N1		
74742		X-ray fallopian tube			N1		
74775		X-ray exam of perineum			Z2	2.3756	$116.29
75557		Cardiac mri for morph			Z2	2.3756	$116.29
75559		Cardiac mri w/stress img			Z2	4.9848	$244.02
75561		Cardiac mri for morph w/dye			Z2	3.8000	$186.02
75563		Card mri w/stress img & dye	CH		Z3		$352.07
75565		Card mri veloc flow mapping			N1		
75571		Ct hrt w/o dye w/ca test			N1		
75572		Ct hrt w/3d image			Z2	1.8432	$90.23
75573		Ct hrt w/3d image congen			Z2	1.8432	$90.23
75574		Ct angio hrt w/3d image			Z2	1.8432	$90.23
75600		Contrast exam thoracic aorta			N1		
75605		Contrast exam thoracic aorta			N1		
75625		Contrast exam abdominl aorta			N1		
75630		X-ray aorta leg arteries			N1		
75635		Ct angio abdominal arteries			N1		
75705		Artery x-rays spine			N1		
75710		Artery x-rays arm/leg			N1		
75716		Artery x-rays arms/legs			N1		
75726		Artery x-rays abdomen			N1		
75731		Artery x-rays adrenal gland			Z3		$103.98
75733		Artery x-rays adrenals			N1		
75736		Artery x-rays pelvis			N1		
75741		Artery x-rays lung			N1		
75743		Artery x-rays lungs			N1		
75746		Artery x-rays lung			Z3		$87.58
75756		Artery x-rays chest			N1		
75774		Artery x-ray each vessel			N1		
75801		Lymph vessel x-ray arm/leg			N1		
75803		Lymph vessel x-ray arms/legs			Z2	11.1343	$545.05
75805		Lymph vessel x-ray trunk			Z2	27.8860	"$1,365.08"
75807		Lymph vessel x-ray trunk			N1		
75809		Nonvascular shunt x-ray			N1		
75810		Vein x-ray spleen/liver			Z2	27.8860	"$1,365.08"
75820		Vein x-ray arm/leg			N1		
75822		Vein x-ray arms/legs			Z3		$72.58
75825		Vein x-ray trunk			N1		
75827		Vein x-ray chest			N1		
75831		Vein x-ray kidney			N1		
75833		Vein x-ray kidneys			N1		
75840		Vein x-ray adrenal gland			N1		
75842		Vein x-ray adrenal glands			N1		
75860		Vein x-ray neck			N1		
75870		Vein x-ray skull			Z3		$114.10
75872		Vein x-ray skull epidural			N1		
75880		Vein x-ray eye socket			N1		
75885		Vein x-ray liver w/hemodynam			N1		
75887		Vein x-ray liver w/o hemodyn			Z3		$79.56
75889		Vein x-ray liver w/hemodynam			N1		
75891		Vein x-ray liver			N1		
75893		Venous sampling by catheter			N1		
75894		X-rays transcath therapy			N1		
75898		Follow-up angiography			Z2	27.8860	"$1,365.08"
75901		Remove cva device obstruct			N1		
75902		Remove cva lumen obstruct			N1		
75970		Vascular biopsy			N1		
75984		Xray control catheter change			N1		
75989		Abscess drainage under x-ray			N1		
76000		Fluoroscopy <1 hr phys/qhp			Z3		$27.57
76010		X-ray nose to rectum			N1		
76080		X-ray exam of fistula			N1		
76098		X-ray exam surgical specimen			N1		
76100		X-ray exam of body section			N1		
76101		Complex body section x-ray			Z2	1.1249	$55.07
76102		Complex body section x-rays			Z2	1.1249	$55.07
76120		Cine/video x-rays			N1		
76125		Cine/video x-rays add-on			N1		
76145		Med physic dos eval rad exps	NC		Z2	1.3097	$64.11
76376		3d render w/intrp postproces			N1		
76377		3d render w/intrp postproces			N1		
76380		Cat scan follow-up study			N1		
76390		Mr spectroscopy	CH		Z2	0.8351	$40.88
76391		Mr elastography			Z2	2.3756	$116.29
76496		Fluoroscopic procedure			N1		
76497		Ct procedure			N1		
76498		Mri procedure			Z2	0.8351	$40.88
76499		Radiographic procedure			N1		
76506		Echo exam of head			N1		
76510		Oph us dx b-scan&quan a-scan			N1		
76511		Oph us dx quan a-scan only			N1		
76512		Oph us dx b-scan			N1		
76513		Echo exam of eye water bath			N1		
76514		Echo exam of eye thickness			N1		
76516		Echo exam of eye			N1		
76519		Echo exam of eye			N1		
76529		Echo exam of eye			N1		
76536		Us exam of head and neck			N1		
76604		Us exam chest			N1		
76641		Ultrasound breast complete			N1		
76642		Ultrasound breast limited			N1		
76700		Us exam abdom complete			Z2	1.1249	$55.07
76705		Echo exam of abdomen			Z2	1.1249	$55.07
76770		Us exam abdo back wall comp			Z2	1.1249	$55.07
76775		Us exam abdo back wall lim			N1		
76776		Us exam k transpl w/doppler			Z2	1.1249	$55.07
76800		Us exam spinal canal			N1		
76801		Ob us < 14 wks single fetus			Z2	1.1249	$55.07
76802		Ob us < 14 wks addl fetus			N1		
76805		Ob us >= 14 wks sngl fetus			Z2	1.1249	$55.07
76810		Ob us >= 14 wks addl fetus			N1		
76811		Ob us detailed sngl fetus			Z3		$85.49
76812		Ob us detailed addl fetus			N1		
76813		Ob us nuchal meas 1 gest			N1		
76814		Ob us nuchal meas add-on			N1		
76815		Ob us limited fetus(s)			N1		
76816		Ob us follow-up per fetus			N1		
76817		Transvaginal us obstetric			N1		
76818		Fetal biophys profile w/nst			Z2	1.1249	$55.07
76819		Fetal biophys profil w/o nst			Z3		$49.55
76820		Umbilical artery echo			N1		
76821		Middle cerebral artery echo			N1		
76825		Echo exam of fetal heart			Z3		$198.54
76826		Echo exam of fetal heart			Z2	2.3756	$116.29
76827		Echo exam of fetal heart			N1		
76828		Echo exam of fetal heart			N1		
76830		Transvaginal us non-ob			Z2	1.1249	$55.07
76831		Echo exam uterus			Z3		$87.58
76856		Us exam pelvic complete			Z2	1.1249	$55.07
76857		Us exam pelvic limited			Z3		$24.43
76870		Us exam scrotum			N1		
76872		Us transrectal			Z2	1.1249	$55.07
76873		Echograp trans r pros study			Z2	1.1249	$55.07
76881		Us compl joint r-t w/img			Z3		$36.29
76882		Us lmtd jt/nonvasc xtr strux			N1		
76885		Us exam infant hips dynamic			N1		
76886		Us exam infant hips static			N1		
76932		Echo guide for heart biopsy			N1		
76936		Echo guide for artery repair			Z2	2.7298	$133.63
76937		Us guide vascular access			N1		
76940		Us guide tissue ablation			N1		
76941		Echo guide for transfusion			N1		
76942		Echo guide for biopsy			N1		
76945		Echo guide villus sampling			N1		
76946		Echo guide for amniocentesis			N1		
76948		Echo guide ova aspiration			N1		
76965		Echo guidance radiotherapy			N1		
76970		Ultrasound exam follow-up	CH		D5		
76975		Gi endoscopic ultrasound			N1		
76977	**	Us bone density measure			Z3		$4.19
76978		Us trgt dyn mbubb 1st les			Z2	1.8432	$90.23
76979		Us trgt dyn mbubb ea addl			N1		
76981		Use parenchyma			Z2	1.1249	$55.07
76982		Use 1st target lesion			Z2	1.1249	$55.07
76983		Use ea addl target lesion			N1		
76998		Us guide intraop			N1		
76999		Echo examination procedure			N1		
77001		Fluoroguide for vein device			N1		
77002		Needle localization by xray			N1		
77003		Fluoroguide for spine inject			N1		
77011		Ct scan for localization			N1		
77012		Ct scan for needle biopsy			N1		
77013		Ct guide for tissue ablation			N1		
77014		Ct scan for therapy guide			N1		
77021		Mri guidance ndl plmt rs&i			N1		
77022		Mri gdn parnchyma tiss abltj			N1		
77046		Mri breast c- unilateral			Z2	2.3756	$116.29
77047		Mri breast c- bilateral			Z2	2.3756	$116.29
77053		X-ray of mammary duct			N1		
77054		X-ray of mammary ducts			N1		
77071		X-ray stress view			N1		
77072		X-rays for bone age			N1		
77073		X-rays bone length studies			N1		
77074		X-rays bone survey limited			N1		
77075		X-rays bone survey complete			N1		
77076		X-rays bone survey infant			N1		
77077		Joint survey single view			N1		
77078	**	Ct bone density axial			Z2	0.8351	$40.88
77080	**	Dxa bone density axial			Z3		$28.61
77081	**	Dxa bone density/peripheral			Z3		$21.63
77084		Magnetic image bone marrow			Z2	2.3756	$116.29
77085	**	Dxa bone density study			N1		
77086		Fracture assessment via dxa			N1		
77280		Set radiation therapy field			Z2	1.3097	$64.11
77285		Set radiation therapy field			Z2	3.4962	$171.15
77290		Set radiation therapy field			Z2	3.4962	$171.15
77293		Respirator motion mgmt simul			N1		
77295		3-d radiotherapy plan			Z3		$262.75
77299		Radiation therapy planning			Z2	1.3097	$64.11
77300		Radiation therapy dose plan			Z3		$34.20
77301		Radiotherapy dose plan imrt			Z2	13.0293	$637.81
77306		Telethx isodose plan simple			Z3		$75.72
77307		Telethx isodose plan cplx			Z3		$137.13
77316		Brachytx isodose plan simple			Z3		$161.21
77317		Brachytx isodose intermed			Z2	3.4962	$171.15
77318		Brachytx isodose complex			Z2	3.4962	$171.15
77321		Special teletx port plan			Z3		$45.01
77331		Special radiation dosimetry			Z3		$19.19
77332		Radiation treatment aid(s)			Z3		$18.14
77333		Radiation treatment aid(s)			Z2	1.3097	$64.11
77334		Radiation treatment aid(s)			Z3		$66.99
77336		Radiation physics consult			Z2	1.3097	$64.11
77338		Design mlc device for imrt			Z2	3.4962	$171.15
77370		Radiation physics consult			Z2	1.3097	$64.11
77385		Ntsty modul rad tx dlvr smpl			Z2	5.6007	$274.17
77386		Ntsty modul rad tx dlvr cplx			Z2	5.6007	$274.17
77387		Guidance for radj tx dlvr			N1		
77399		External radiation dosimetry			Z2	1.3097	$64.11
77401		Radiation treatment delivery			Z3		$43.62
77402		Radiation treatment delivery			Z2	1.2444	$60.92
77407		Radiation treatment delivery			Z2	2.4949	$122.13
77412		Radiation treatment delivery			Z2	2.4949	$122.13
77417		Radiology port images(s)			N1		
77423		Neutron beam tx complex			Z3		$26.87
77424		Io rad tx delivery by x-ray			Z2	39.2112	"$1,919.47"
77425		Io rad tx deliver by elctrns			Z2	39.2112	"$1,919.47"
77435		Sbrt management			N1		
77470		Special radiation treatment			Z3		$26.17
77520		Proton trmt simple w/o comp			Z2	5.6007	$274.17
77522		Proton trmt simple w/comp			Z2	13.3982	$655.87
77523		Proton trmt intermediate			Z2	13.3982	$655.87
77525		Proton treatment complex			Z2	13.3982	$655.87
77600		Hyperthermia treatment			Z2	2.4949	$122.13
77605		Hyperthermia treatment			Z2	7.3133	$358.00
77610		Hyperthermia treatment			Z2	5.6007	$274.17
77615		Hyperthermia treatment			Z2	5.6007	$274.17
77620		Hyperthermia treatment			Z2	5.6007	$274.17
77750		Infuse radioactive materials	CH		Z2	2.4949	$122.13
77761		Apply intrcav radiat simple			Z3		$210.41
77762		Apply intrcav radiat interm			Z3		$240.06
77763		Apply intrcav radiat compl			Z3		$307.76
77767		Hdr rdncl skn surf brachytx			Z2	2.4949	$122.13
77768		Hdr rdncl skn surf brachytx			Z2	2.4949	$122.13
77770		Hdr rdncl ntrstl/icav brchtx			Z3		$248.79
77771		Hdr rdncl ntrstl/icav brchtx			Z2	7.3133	$358.00
77772		Hdr rdncl ntrstl/icav brchtx			Z2	7.3133	$358.00
77778		Apply interstit radiat compl			Z2	7.3133	$358.00
77789		Apply surf ldr radionuclide			Z2	1.2444	$60.92
77790		Radiation handling			N1		
77799		Radium/radioisotope therapy			Z2	1.2444	$60.92
78012		Thyroid uptake measurement			Z2	3.8929	$190.57
78013		Thyroid imaging w/blood flow			Z2	3.8929	$190.57
78014		Thyroid imaging w/blood flow			Z2	3.8929	$190.57
78015		Thyroid met imaging			Z2	3.8929	$190.57
78016		Thyroid met imaging/studies			Z2	3.8929	$190.57
78018		Thyroid met imaging body			Z2	5.0520	$247.31
78020		Thyroid met uptake			N1		
78070		Parathyroid planar imaging			Z2	3.8929	$190.57
78071		Parathyrd planar w/wo subtrj			Z2	3.8929	$190.57
78072		Parathyrd planar w/spect&ct			Z2	5.0520	$247.31
78075		Adrenal cortex & medulla img			Z2	13.4810	$659.92
78099		Endocrine nuclear procedure			Z2	3.8929	$190.57
78102		Bone marrow imaging ltd			Z2	3.8929	$190.57
78103		Bone marrow imaging mult			Z2	3.8929	$190.57
78104		Bone marrow imaging body			Z2	3.8929	$190.57
78110		Plasma volume single			Z2	13.4810	$659.92
78111		Plasma volume multiple			Z2	13.4810	$659.92
78120		Red cell mass single			Z2	3.8929	$190.57
78121		Red cell mass multiple			Z2	5.0520	$247.31
78122		Blood volume			Z2	5.0520	$247.31
78130		Red cell survival study			Z2	3.8929	$190.57
78135		Red cell survival kinetics	CH		D5		
78140		Red cell sequestration			Z2	3.8929	$190.57
78185		Spleen imaging			Z2	3.8929	$190.57
78191		Platelet survival			Z2	3.8929	$190.57
78195		Lymph system imaging			Z2	5.0520	$247.31
78199		Blood/lymph nuclear exam			Z2	3.8929	$190.57
78201		Liver imaging			Z2	5.0520	$247.31
78202		Liver imaging with flow			Z2	5.0520	$247.31
78215		Liver and spleen imaging			Z2	3.8929	$190.57
78216		Liver & spleen image/flow			Z2	3.8929	$190.57
78226		Hepatobiliary system imaging			Z2	3.8929	$190.57
78227		Hepatobil syst image w/drug			Z2	5.0520	$247.31
78230		Salivary gland imaging			Z2	3.8929	$190.57
78231		Serial salivary imaging			Z2	3.8929	$190.57
78232		Salivary gland function exam			Z2	3.8929	$190.57
78258		Esophageal motility study			Z2	3.8929	$190.57
78261		Gastric mucosa imaging			Z2	3.8929	$190.57
78262		Gastroesophageal reflux exam			Z2	3.8929	$190.57
78264		Gastric emptying imag study			Z2	3.8929	$190.57
78265		Gastric emptying imag study			Z2	3.8929	$190.57
78266		Gastric emptying imag study			Z2	5.0520	$247.31
78278		Acute gi blood loss imaging			Z2	3.8929	$190.57
78282		Gi protein loss exam			Z2	3.8929	$190.57
78290		Meckels divert exam			Z2	3.8929	$190.57
