Addendum AA -- ASC Covered Surgical Procedures for CY 2021                                                                                                      (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2020 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2020 American Dental Association.  All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting, April 2021 Payment Indicator,April 2021 Payment Weight  ,April 2021 Payment Rate 
0445T,,Sbsqt plmt drug elut oc ins,N,N1,,
0446T,,Insj impltbl glucose sensor,Y,G2,17.7074,$866.81 
0447T,,Rmvl impltbl glucose sensor,N,G2,1.8534,$90.73 
0448T,,Remvl insj impltbl gluc sens,Y,G2,17.7074,$866.81 
0449T,,Insj aqueous drain dev 1st,Y,J8,59.4441,"$2,909.91 "
0450T,,Insj aqueous drain dev each,N,N1,,
0453T,,Insj/rplcmt mech-elec ntrfce,Y,G2,82.74,"$4,050.29 "
0454T,,Insj/rplcmt subq electrode,Y,G2,82.74,"$4,050.29 "
0457T,,Remvl mech-elec skin ntrfce,N,G2,35.5144,"$1,738.50 "
0458T,,Remvl subq electrode,N,G2,35.5144,"$1,738.50 "
0460T,,Repos aortic ventr dev eltrd,Y,G2,35.5144,"$1,738.50 "
0465T,,Supchrdl njx rx w/o supply,Y,R2,3.2079,$157.03 
0466T,,Insj ch wal respir eltrd/ra,N,N1,,
0467T,,Revj/rplmnt ch respir eltrd,N,J8,56.4982,"$2,765.70 "
0468T,,Rmvl ch wal respir eltrd/ra,N,G2,37.4106,"$1,831.32 "
0471T,,Oct skn img acquisj i&r addl,N,N1,,
0479T,,Fxjl abl lsr 1st 100 sq cm,Y,G2,5.4109,$264.87 
0480T,,Fxjl abl lsr ea addl 100sqcm,N,N1,,
0487T,,Trvg biomchn mapg w/reprt,N,N1,,
0491T,,Abl lsr opn wnd 1st 20 sqcm,Y,G2,3.5701,$174.76 
0492T,,Abl lsr opn wnd addl 20 sqcm,N,N1,,
0493T,,Near ifr spectrsc of wounds,N,N1,,
0499T,,Cysto f/urtl strix/stenosis,N,G2,28.4994,"$1,395.10 "
0502T,,Cor ffr data prep & transmis,N,N1,,
0503T,,Cor ffr alys gnrj ffr mdl,N,N1,,
0505T,,Ev fempop artl revsc,Y,J8,130.7975,"$6,402.80 "
0510T,,Rmvl sinus tarsi implant,N,G2,27.1337,"$1,328.25 "
0511T,,Rmvl&rinsj sinus tarsi implt,Y,J8,77.9962,"$3,818.07 "
0512T,*,Esw integ wnd hlg 1st wnd,N,R2,1.8534,$90.73 
0513T,,Esw integ wnd hlg ea addl,N,N1,,
0514T,,Intraop vis axis id pt fixj,N,N1,,
0515T,,Insj wcs lv compl sys,Y,J8,307.1971,"$15,037.91 "
0516T,,Insj wcs lv eltrd only,Y,G2,82.74,"$4,050.29 "
0517T,,Insj wcs lv pg compnt,Y,J8,146.2496,"$7,159.21 "
0518T,,Rmvl pg compnt wcs,Y,G2,35.5144,"$1,738.50 "
0519T,,Rmvl & rplcmt pg compnt wcs,Y,J8,46.2919,"$2,266.08 "
0520T,,Rmvl&rplcmt pg wcs new eltrd,Y,J8,307.1971,"$15,037.91 "
0523T,,Ntrapx c ffr w/3d funcjl map,N,N1,,
0524T,,Ev cath dir chem abltj w/img,Y,G2,27.886,"$1,365.08 "
0525T,,Insj/rplcmt compl iims,Y,J8,127.8152,"$6,256.81 "
0526T,,Insj/rplcmt iims eltrd only,Y,J8,107.8489,"$5,279.42 "
0527T,,Insj/rplcmt iims implt mntr,Y,G2,82.74,"$4,050.29 "
0530T,,Removal complete iims,N,G2,35.5144,"$1,738.50 "
0531T,,Removal iims electrode only,N,G2,35.5144,"$1,738.50 "
0532T,,Removal iims implt mntr only,N,G2,35.5144,"$1,738.50 "
0548T,,Tprnl balo cntnc dev bi,Y,J8,203.6252,"$9,967.86 "
0549T,,Tprnl balo cntnc dev uni,Y,J8,70.705,"$3,461.15 "
0550T,,Tprnl balo cntnc dev rmvl ea,Y,G2,28.4994,"$1,395.10 "
0551T,*,Tprnl balo cntnc dev adjmt,Y,R2,2.7473,$134.49 
0566T,*,Autol cell implt adps njx,Y,R2,2.696,$131.97 
0583T,,Tmpst auto tube dlvr sys,N,J8,13.6854,$669.93 
0587T,,Perq impltj/rplcmt isdns ptn,Y,J8,80.1197,"$3,922.02 "
0588T,*,Revision/removal isdns ptn,Y,R2,37.4106,"$1,831.32 "
0594T,,Osteot hum xtrnl lngth dev,Y,J8,77.9962,"$3,818.07 "
0596T,,Temp fml iu vlv-pmp 1st insj,Y,R2,5.9332,$290.44 
0597T,,Temp fml iu valve-pmp rplcmt,Y,R2,5.9332,$290.44 
0600T,,Ire abltj 1+tum organ perq,Y,J8,101.0214,"$4,945.20 "
0601T,,Ire abltj 1+tumors open,Y,J8,101.0214,"$4,945.20 "
0614T,,Rmvl&rplcmt ss impl dfb pg,Y,J8,307.1971,"$15,037.91 "
0616T,,Insertion of iris prosthesis,Y,J8,27.6738,"$1,354.69 "
0617T,,Insj iris prosth w/rmvl&insj,Y,J8,49.8552,"$2,440.51 "
0618T,,Insj iris prosth sec io lens,Y,J8,49.8552,"$2,440.51 "
0619T,,Cysto w/prst8 commissurotomy,Y,J8,54.9426,"$2,689.55 "
0620T,,Evasc ven artlz tibl/prnl vn,Y,J8,187.8926,"$9,197.72 "
0627T,,Perq njx algc fluor lmbr 1st,Y,G2,119.8265,"$5,865.75 "
0628T,,Perq njx algc fluor lmbr ea,N,N1,,
0629T,,Perq njx algc ct lmbr 1st,Y,G2,119.8265,"$5,865.75 "
0630T,,Perq njx algc ct lmbr ea,N,N1,,
0632T,,Perq tcat us abltj nrv p-art,Y,J8,187.8925,"$9,197.72 "
10004,,Fna bx w/o img gdn ea addl,N,N1,,
10005,,Fna bx w/us gdn 1st les,Y,G2,6.4205,$314.30 
10006,,Fna bx w/us gdn ea addl,N,N1,,
10007,,Fna bx w/fluor gdn 1st les,Y,P3,,$246.35 
10008,,Fna bx w/fluor gdn ea addl,N,N1,,
10009,,Fna bx w/ct gdn 1st les,Y,G2,6.4205,$314.30 
10010,,Fna bx w/ct gdn ea addl,N,N1,,
10011,,Fna bx w/mr gdn 1st les,Y,R2,6.4205,$314.30 
10012,,Fna bx w/mr gdn ea addl,N,N1,,
10021,,Fna bx w/o img gdn 1st les,Y,P3,,$64.55 
10030,,Guide cathet fluid drainage,Y,G2,6.4205,$314.30 
10035,,Perq dev soft tiss 1st imag,Y,N1,,
10036,,Perq dev soft tiss add imag,N,N1,,
10040,,Acne surgery,N,N1,,
10060,,Drainage of skin abscess,Y,P3,,$79.21 
10061,,Drainage of skin abscess,Y,P3,,$120.38 
10080,,Drainage of pilonidal cyst,Y,P3,,$203.43 
10081,,Drainage of pilonidal cyst,Y,P3,,$247.39 
10120,,Remove foreign body,Y,P3,,$109.56 
10121,,Remove foreign body,Y,A2,12.1379,$594.17 
10140,,Drainage of hematoma/fluid,Y,P3,,$113.75 
10160,,Puncture drainage of lesion,Y,P3,,$84.79 
10180,,Complex drainage wound,Y,A2,20.3333,$995.36 
11000,,Debride infected skin,Y,P3,,$36.29 
11001,,Debride infected skin add-on,N,N1,,
11010,,Debride skin at fx site,Y,A2,6.4205,$314.30 
11011,,Debride skin musc at fx site,Y,A2,6.4205,$314.30 
11012,,Deb skin bone at fx site,Y,A2,20.3333,$995.36 
11042,,Deb subq tissue 20 sq cm/<,Y,A2,3.5701,$174.76 
11043,,Deb musc/fascia 20 sq cm/<,Y,A2,5.4109,$264.87 
11044,,Deb bone 20 sq cm/<,Y,A2,12.1379,$594.17 
11045,,Deb subq tissue add-on,N,N1,,
11046,,Deb musc/fascia add-on,N,N1,,
11047,,Deb bone add-on,N,N1,,
11055,,Trim skin lesion,N,N1,,
11056,,Trim skin lesions 2 to 4,N,N1,,
11057,,Trim skin lesions over 4,Y,P3,,$65.60 
11102,,Tangntl bx skin single les,Y,P3,,$81.65 
11103,,Tangntl bx skin ea sep/addl,N,N1,,
11104,,Punch bx skin single lesion,Y,P3,,$101.19 
11105,,Punch bx skin ea sep/addl,N,N1,,
11106,,Incal bx skn single les,Y,P3,,$123.87 
11107,,Incal bx skn ea sep/addl,N,N1,,
11200,,Removal of skin tags <w/15,N,N1,,
11201,,Remove skin tags add-on,N,N1,,
11300,,Shave skin lesion 0.5 cm/<,N,N1,,
11301,,Shave skin lesion 0.6-1.0 cm,N,N1,,
11302,,Shave skin lesion 1.1-2.0 cm,N,N1,,
11303,,Shave skin lesion >2.0 cm,N,N1,,
11305,,Shave skin lesion 0.5 cm/<,N,N1,,
11306,,Shave skin lesion 0.6-1.0 cm,N,N1,,
11307,,Shave skin lesion 1.1-2.0 cm,Y,P2,1.8534,$90.73 
11308,,Shave skin lesion >2.0 cm,N,N1,,
11310,,Shave skin lesion 0.5 cm/<,Y,P3,,$90.72 
11311,,Shave skin lesion 0.6-1.0 cm,Y,P2,1.8534,$90.73 
11312,,Shave skin lesion 1.1-2.0 cm,Y,P3,,$113.75 
11313,,Shave skin lesion >2.0 cm,Y,P3,,$125.62 
11400,,Exc tr-ext b9+marg 0.5 cm<,Y,P3,,$97.00 
11401,,Exc tr-ext b9+marg 0.6-1 cm,Y,P3,,$110.96 
11402,,Exc tr-ext b9+marg 1.1-2 cm,Y,P3,,$120.38 
11403,,Exc tr-ext b9+marg 2.1-3cm,Y,P3,,$130.85 
11404,,Exc tr-ext b9+marg 3.1-4 cm,Y,A2,12.1379,$594.17 
11406,,Exc tr-ext b9+marg >4.0 cm,Y,A2,12.1379,$594.17 
11420,,Exc h-f-nk-sp b9+marg 0.5/<,Y,P3,,$92.82 
11421,,Exc h-f-nk-sp b9+marg 0.6-1,Y,P3,,$108.17 
11422,,Exc h-f-nk-sp b9+marg 1.1-2,Y,P3,,$120.03 
11423,,Exc h-f-nk-sp b9+marg 2.1-3,Y,P3,,$130.15 
11424,,Exc h-f-nk-sp b9+marg 3.1-4,Y,A2,12.1379,$594.17 
11426,,Exc h-f-nk-sp b9+marg >4 cm,Y,A2,20.3333,$995.36 
11440,,Exc face-mm b9+marg 0.5 cm/<,Y,P3,,$107.47 
11441,,Exc face-mm b9+marg 0.6-1 cm,Y,P3,,$119.33 
11442,,Exc face-mm b9+marg 1.1-2 cm,Y,P3,,$129.10 
11443,,Exc face-mm b9+marg 2.1-3 cm,Y,P3,,$142.71 
11444,,Exc face-mm b9+marg 3.1-4 cm,Y,A2,12.1379,$594.17 
11446,,Exc face-mm b9+marg >4 cm,Y,A2,20.3333,$995.36 
11450,,Removal sweat gland lesion,Y,A2,20.3333,$995.36 
11451,,Removal sweat gland lesion,Y,A2,20.3333,$995.36 
11462,,Removal sweat gland lesion,Y,A2,20.3333,$995.36 
11463,,Removal sweat gland lesion,Y,A2,20.3333,$995.36 
11470,,Removal sweat gland lesion,Y,A2,20.3333,$995.36 
11471,,Removal sweat gland lesion,Y,A2,20.3333,$995.36 
11600,,Exc tr-ext mal+marg 0.5 cm/<,Y,P3,,$142.36 
11601,,Exc tr-ext mal+marg 0.6-1 cm,Y,P3,,$156.67 
11602,,Exc tr-ext mal+marg 1.1-2 cm,Y,P3,,$165.74 
11603,,Exc tr-ext mal+marg 2.1-3 cm,Y,P3,,$178.65 
11604,,Exc tr-ext mal+marg 3.1-4 cm,Y,A2,6.4205,$314.30 
11606,,Exc tr-ext mal+marg >4 cm,Y,A2,12.1379,$594.17 
11620,,Exc h-f-nk-sp mal+marg 0.5/<,Y,P3,,$142.71 
11621,,Exc s/n/h/f/g mal+mrg 0.6-1,Y,P3,,$157.02 
11622,,Exc s/n/h/f/g mal+mrg 1.1-2,Y,P3,,$168.53 
11623,,Exc s/n/h/f/g mal+mrg 2.1-3,Y,P3,,$184.24 
11624,,Exc s/n/h/f/g mal+mrg 3.1-4,Y,A2,12.1379,$594.17 
11626,,Exc s/n/h/f/g mal+mrg >4 cm,Y,A2,20.3333,$995.36 
11640,,Exc f/e/e/n/l mal+mrg 0.5cm<,Y,P3,,$146.20 
11641,,Exc f/e/e/n/l mal+mrg 0.6-1,Y,P3,,$161.21 
11642,,Exc f/e/e/n/l mal+mrg 1.1-2,Y,P3,,$175.16 
11643,,Exc f/e/e/n/l mal+mrg 2.1-3,Y,P3,,$191.21 
11644,,Exc f/e/e/n/l mal+mrg 3.1-4,Y,A2,12.1379,$594.17 
11646,,Exc f/e/e/n/l mal+mrg >4 cm,Y,A2,20.3333,$995.36 
11719,,Trim nail(s) any number,N,N1,,
11720,,Debride nail 1-5,N,N1,,
11721,,Debride nail 6 or more,N,N1,,
11730,,Removal of nail plate,N,N1,,
11732,,Remove nail plate add-on,N,N1,,
11740,,Drain blood from under nail,N,N1,,
11750,,Removal of nail bed,Y,P3,,$106.77 
11755,,Biopsy nail unit,Y,P3,,$83.05 
11760,,Repair of nail bed,Y,P3,,$136.08 
11762,,Reconstruction of nail bed,Y,P3,,$190.52 
11765,,Excision of nail fold toe,N,N1,,
11770,,Remove pilonidal cyst simple,Y,A2,20.3333,$995.36 
11771,,Remove pilonidal cyst exten,Y,A2,20.3333,$995.36 
11772,,Remove pilonidal cyst compl,Y,A2,20.3333,$995.36 
11900,,Inject skin lesions </w 7,N,N1,,
11901,,Inject skin lesions >7,N,N1,,
11920,,Correct skin color 6.0 cm/<,Y,P3,,$132.94 
11921,,Correct skn color 6.1-20.0cm,Y,P3,,$146.20 
11922,,Correct skin color ea 20.0cm,N,N1,,
11950,,Tx contour defects 1 cc/<,Y,P3,,$47.45 
11951,,Tx contour defects 1.1-5.0cc,Y,P3,,$60.71 
11952,,Tx contour defects 5.1-10cc,Y,P3,,$77.46 
11954,,Tx contour defects >10.0 cc,Y,P3,,$85.49 
11960,,Insert tissue expander(s),Y,A2,36.3586,"$1,779.83 "
11970,,Rplcmt tiss xpndr perm implt,Y,J8,77.6565,"$3,801.44 "
11971,,Rmvl tis xpndr wo insj implt,N,A2,20.3333,$995.36 
11976,,Remove contraceptive capsule,N,P3,,$77.46 
11980,,Implant hormone pellet(s),N,N1,,
11981,,Insert drug implant device,N,N1,,
11982,,Remove drug implant device,N,N1,,
11983,,Remove/insert drug implant,N,N1,,
12001,,Rpr s/n/ax/gen/trnk 2.5cm/<,N,N1,,
12002,,Rpr s/n/ax/gen/trnk2.6-7.5cm,N,N1,,
12004,,Rpr s/n/ax/gen/trk7.6-12.5cm,N,N1,,
12005,,Rpr s/n/a/gen/trk12.6-20.0cm,N,A2,3.5701,$174.76 
12006,,Rpr s/n/a/gen/trk20.1-30.0cm,N,A2,3.5701,$174.76 
12007,,Rpr s/n/ax/gen/trnk >30.0 cm,Y,A2,1.8534,$90.73 
12011,,Rpr f/e/e/n/l/m 2.5 cm/<,N,N1,,
12013,,Rpr f/e/e/n/l/m 2.6-5.0 cm,N,N1,,
12014,,Rpr f/e/e/n/l/m 5.1-7.5 cm,N,N1,,
12015,,Rpr f/e/e/n/l/m 7.6-12.5 cm,N,G2,1.8534,$90.73 
12016,,Rpr fe/e/en/l/m 12.6-20.0 cm,N,A2,3.5701,$174.76 
12017,,Rpr fe/e/en/l/m 20.1-30.0 cm,N,A2,3.5701,$174.76 
12018,,Rpr f/e/e/n/l/m >30.0 cm,N,A2,1.8534,$90.73 
12020,,Closure of split wound,Y,A2,5.4109,$264.87 
12021,,Closure of split wound,Y,A2,3.5701,$174.76 
12031,,Intmd rpr s/a/t/ext 2.5 cm/<,Y,P2,3.5701,$174.76 
12032,,Intmd rpr s/a/t/ext 2.6-7.5,Y,P2,3.5701,$174.76 
12034,,Intmd rpr s/tr/ext 7.6-12.5,Y,A2,3.5701,$174.76 
12035,,Intmd rpr s/a/t/ext 12.6-20,Y,A2,3.5701,$174.76 
12036,,Intmd rpr s/a/t/ext 20.1-30,Y,A2,5.4109,$264.87 
12037,,Intmd rpr s/tr/ext >30.0 cm,Y,A2,17.7074,$866.81 
12041,,Intmd rpr n-hf/genit 2.5cm/<,N,P2,3.5701,$174.76 
12042,,Intmd rpr n-hf/genit2.6-7.5,Y,P2,3.5701,$174.76 
12044,,Intmd rpr n-hf/genit7.6-12.5,Y,A2,5.4109,$264.87 
12045,,Intmd rpr n-hf/genit12.6-20,Y,A2,5.4109,$264.87 
12046,,Intmd rpr n-hf/genit20.1-30,Y,A2,5.4109,$264.87 
12047,,Intmd rpr n-hf/genit >30.0cm,Y,A2,17.7074,$866.81 
12051,,Intmd rpr face/mm 2.5 cm/<,Y,P2,3.5701,$174.76 
12052,,Intmd rpr face/mm 2.6-5.0 cm,Y,P2,3.5701,$174.76 
12053,,Intmd rpr face/mm 5.1-7.5 cm,Y,P2,3.5701,$174.76 
12054,,Intmd rpr face/mm 7.6-12.5cm,N,A2,3.5701,$174.76 
12055,,Intmd rpr face/mm 12.6-20 cm,Y,A2,3.5701,$174.76 
12056,,Intmd rpr face/mm 20.1-30.0,N,A2,3.5701,$174.76 
12057,,Intmd rpr face/mm >30.0 cm,Y,A2,3.5701,$174.76 
13100,,Cmplx rpr trunk 1.1-2.5 cm,Y,A2,5.4109,$264.87 
13101,,Cmplx rpr trunk 2.6-7.5 cm,Y,A2,5.4109,$264.87 
13102,,Cmplx rpr trunk addl 5cm/<,N,N1,,
13120,,Cmplx rpr s/a/l 1.1-2.5 cm,Y,A2,5.4109,$264.87 
13121,,Cmplx rpr s/a/l 2.6-7.5 cm,Y,A2,5.4109,$264.87 
13122,,Cmplx rpr s/a/l addl 5 cm/>,N,N1,,
13131,,Cmplx rpr f/c/c/m/n/ax/g/h/f,Y,A2,3.5701,$174.76 
13132,,Cmplx rpr f/c/c/m/n/ax/g/h/f,Y,A2,5.4109,$264.87 
13133,,Cmplx rpr f/c/c/m/n/ax/g/h/f,N,N1,,
13151,,Cmplx rpr e/n/e/l 1.1-2.5 cm,Y,A2,5.4109,$264.87 
13152,,Cmplx rpr e/n/e/l 2.6-7.5 cm,Y,A2,5.4109,$264.87 
13153,,Cmplx rpr e/n/e/l addl 5cm/<,N,N1,,
13160,,Late closure of wound,Y,A2,17.7074,$866.81 
14000,,Tis trnfr trunk 10 sq cm/<,Y,A2,17.7074,$866.81 
14001,,Tis trnfr trunk 10.1-30sqcm,Y,A2,17.7074,$866.81 
14020,,Tis trnfr s/a/l 10 sq cm/<,Y,A2,17.7074,$866.81 
14021,,Tis trnfr s/a/l 10.1-30 sqcm,Y,A2,17.7074,$866.81 
14040,,Tis trnfr f/c/c/m/n/a/g/h/f,Y,A2,17.7074,$866.81 
14041,,Tis trnfr f/c/c/m/n/a/g/h/f,Y,A2,17.7074,$866.81 
14060,,Tis trnfr e/n/e/l 10 sq cm/<,Y,A2,17.7074,$866.81 
14061,,Tis trnfr e/n/e/l10.1-30sqcm,Y,A2,17.7074,$866.81 
14301,,Tis trnfr any 30.1-60 sq cm,Y,G2,36.3586,"$1,779.83 "
14302,,Tis trnfr addl 30 sq cm,N,N1,,
14350,,Filleted finger/toe flap,Y,A2,17.7074,$866.81 
15002,,Wound prep trk/arm/leg,Y,A2,17.7074,$866.81 
15003,,Wound prep addl 100 cm,N,N1,,
15004,,Wound prep f/n/hf/g,Y,A2,5.4109,$264.87 
15005,,Wnd prep f/n/hf/g addl cm,N,N1,,
15040,,Harvest cultured skin graft,Y,A2,17.7074,$866.81 
15050,,Skin pinch graft,Y,A2,5.4109,$264.87 
15100,,Skin splt grft trnk/arm/leg,Y,A2,17.7074,$866.81 
15101,,Skin splt grft t/a/l add-on,N,N1,,
15110,,Epidrm autogrft trnk/arm/leg,Y,A2,17.7074,$866.81 
15111,,Epidrm autogrft t/a/l add-on,N,N1,,
15115,,Epidrm a-grft face/nck/hf/g,Y,A2,17.7074,$866.81 
15116,,Epidrm a-grft f/n/hf/g addl,N,N1,,
15120,,Skn splt a-grft fac/nck/hf/g,Y,A2,36.3586,"$1,779.83 "
15121,,Skn splt a-grft f/n/hf/g add,N,N1,,
15130,,Derm autograft trnk/arm/leg,Y,A2,17.7074,$866.81 
15131,,Derm autograft t/a/l add-on,N,N1,,
15135,,Derm autograft face/nck/hf/g,Y,A2,36.3586,"$1,779.83 "
15136,,Derm autograft f/n/hf/g add,N,N1,,
15150,,Cult skin grft t/arm/leg,Y,A2,17.7074,$866.81 
15151,,Cult skin grft t/a/l addl,N,N1,,
15152,,Cult skin graft t/a/l +%,N,N1,,
15155,,Cult skin graft f/n/hf/g,Y,A2,36.3586,"$1,779.83 "
15156,,Cult skin grft f/n/hfg add,N,N1,,
15157,,Cult epiderm grft f/n/hfg +%,N,N1,,
15200,,Skin full graft trunk,Y,A2,17.7074,$866.81 
15201,,Skin full graft trunk add-on,N,N1,,
15220,,Skin full graft sclp/arm/leg,Y,A2,17.7074,$866.81 
15221,,Skin full graft add-on,N,N1,,
15240,,Skin full grft face/genit/hf,Y,A2,17.7074,$866.81 
15241,,Skin full graft add-on,N,N1,,
15260,,Skin full graft een & lips,Y,A2,17.7074,$866.81 
15261,,Skin full graft add-on,N,N1,,
15271,,Skin sub graft trnk/arm/leg,Y,G2,17.7074,$866.81 
15272,,Skin sub graft t/a/l add-on,N,N1,,
15273,,Skin sub grft t/arm/lg child,Y,G2,36.3586,"$1,779.83 "
15274,,Skn sub grft t/a/l child add,N,N1,,
