Addendum AA -- ASC Covered Surgical Procedures for CY 2024                                                                                                                                (Including Surgical Procedures for Which Payment is Packaged)						
CPT codes and descriptions only are copyright 2023 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2023 American Dental Association.  All Rights Reserved.						
						
HCPCS Code		Short Descriptor	Subject to Multiple Procedure Discounting	July 2024  Payment Indicator	July 2024  Payment Weight  	July 2024 Payment Rate 
0632T		Perq tcat us abltj nrv p-art	Y	J8	185.0918	"$9,905.00"
0644T		Tcat rmvl/dblk icar mas perq	Y	G2	47.1987	"$2,525.79"
0647T		Insj gtube perq mag gastrpxy	Y	G2	15.5423	$831.73
0651T		Mag ctrld capsule endoscopy	Y	J8	12.0884	$646.90
0652T		Egd flx transnasal dx br/wa	Y	J8	19.5749	"$1,047.53"
0653T		Egd flx transnasal bx 1/mlt	Y	J8	19.5749	"$1,047.53"
0654T		Egd flx transnasal tube/cath	Y	G2	33.6153	"$1,798.89"
0655T		Tprnl focal abltj mal prst8	Y	G2	30.3831	"$1,625.92"
0660T		Implt ant sgm io nbio rx sys	Y	G2	38.2106	"$2,044.80"
0661T		Rmvl&rimpltj ant sgm implt	Y	G2	38.2106	"$2,044.80"
0671T		Insj ant sgm aq drg dev 1+	Y	J8	71.3077	"$3,815.96"
0673T		Abltj b9 thyr ndul perq lasr	Y	G2	12.7598	$682.83
0686T		Histotripsy mal hepatcel tis	N	G2	178.0252	"$9,526.84"
0699T		Njx pst chmbr eye medication	Y	G2	22.117	"$1,183.57"
0707T		Njx b1 sub mtrl sbchdrl dfct	Y	J8	41.5329	"$2,222.59"
0714T		Tprnl lsr ablt b9 prst8 hypr	Y	G2	46.1728	"$2,470.89"
0784T		Ins/rplmt eltrd ra spi nstim	Y	J8	172.3639	"$9,223.88"
0785T		Revj/rmvl nea spi w/nstim	Y	G2	35.4662	"$1,897.94"
0786T		Insj/rplcmt prq ra sac nstim	Y	J8	172.3639	"$9,223.88"
0787T		Revj/rmvl nea sac w/nstim	Y	G2	35.4662	"$1,897.94"
0793T		Prq tcat thrm ablt nrv p-art	Y	J8	185.0918	"$9,905.00"
0797T		Tcat ins 2chmbr ldls pm rv	Y	J8	197.6111	"$10,574.96"
0800T		Tcat rmvl 2chmbr ldls pm rv	Y	J8	36.4284	"$1,949.43"
0803T		Tcat rmv&rpl2chmb ldls pm rv	Y	J8	197.6111	"$10,574.96"
0810T		Subrta njx rx agt w/vtrc	Y	G2	43.2386	"$2,313.87"
0813T		Egd vol adjmt bariatric balo	Y	G2	8.7859	$470.17
0816T		Opn insj/rplcmt ins ptn subq	Y	J8	263.8982	"$14,122.25"
0817T		Opn insj/rplcmt ins ptn subf	Y	J8	263.8982	"$14,122.25"
0818T		Revj/rmvl ins ptn subq	Y	G2	35.4662	"$1,897.94"
0819T		Revj/rmvl ins ptn subf	Y	G2	35.4662	"$1,897.94"
0864T	*	Low ntsty eswt corpus cvrnsm	Y	R2	2.3954	$128.19
0867T		Tpla b9 prst8 hyprplsa>=50ml	Y	G2	46.1728	"$2,470.89"
0869T		Njx b1 sub mtrl hw fixj aug	Y	J8	35.7441	"$1,912.81"
0884T		Esphgsc flx 1st tndsc dilat	Y	J8	42.3371	"$2,265.63"
0885T		Colsc flx 1st tndsc dilat	Y	J8	31.7468	"$1,698.90"
0886T		Sgmdsc flx 1st tndsc dilat	Y	J8	31.7468	"$1,698.90"
0888T		Histotripsy mal renal tissue	N	G2	178.0252	"$9,526.84"
10004		Fna bx w/o img gdn ea addl	N	N1		
10005		Fna bx w/us gdn 1st les	Y	G2	6.8193	$364.93
10006		Fna bx w/us gdn ea addl	N	N1		
10007		Fna bx w/fluor gdn 1st les	Y	P3		$235.68
10008		Fna bx w/fluor gdn ea addl	N	N1		
10009		Fna bx w/ct gdn 1st les	Y	G2	6.8193	$364.93
10010		Fna bx w/ct gdn ea addl	N	N1		
10011		Fna bx w/mr gdn 1st les	Y	R2	6.8193	$364.93
10012		Fna bx w/mr gdn ea addl	N	N1		
10021		Fna bx w/o img gdn 1st les	Y	P3		$62.25
10030		Img gid flu coll drg sft tis	Y	G2	6.8193	$364.93
10035		Plmt sft tiss loclzj dev 1st	Y	N1		
10036		Plmt sft tiss loclzj dev ea	N	N1		
10040		Acne surgery	N	N1		
10060		I&d abscess simple/single	Y	P3		$82.56
10061		I&d abscess comp/multiple	Y	P3		$123.16
10080		I&d pilonidal cyst simple	Y	P3		$203.71
10081		I&d pilonidal cyst comp	Y	P3		$245.66
10120		Inc&rmvl fb subq tiss smpl	Y	P3		$107.19
10121		Inc&rmvl fb subq tiss comp	Y	A2	12.7598	$682.83
10140		I&d hmtma seroma/fluid collj	Y	P3		$110.85
10160		Pnxr aspir absc hmtma bulla	Y	P3		$83.22
10180		I&d complex po wound infctj	Y	A2	21.6207	"$1,157.01"
11000		Dbrdmt ecz/infected skin<10%	Y	P3		$37.61
11001		Dbrdmt ecz/infct skn ea addl	N	N1		
11010		Debride skin at fx site	Y	A2	6.8193	$364.93
11011		Debride skin musc at fx site	Y	A2	6.8193	$364.93
11012		Deb skin bone at fx site	Y	A2	21.6207	"$1,157.01"
11042		Dbrdmt subq tis 1st 20sqcm/<	Y	A2	3.8648	$206.82
11043		Dbrdmt musc&/fsca 1st 20/<	Y	A2	6.0874	$325.76
11044		Dbrdmt bone 1st 20 sq cm/<	Y	A2	12.7598	$682.83
11045		Dbrdmt subq tiss each addl	N	N1		
11046		Dbrdmt musc&/fsca ea addl	N	N1		
11047		Dbrdmt bone each addl	N	N1		
11055		Paring/cutg b9 hyprker les 1	N	N1		
11056		Parng/cutg b9 hyprkr les 2-4	N	N1		
11057		Parng/cutg b9 hyprkr les >4	Y	P3		$66.91
11102		Tangntl bx skin single les	Y	P3		$76.22
11103		Tangntl bx skin ea sep/addl	N	N1		
11104		Punch bx skin single lesion	Y	P3		$94.21
11105		Punch bx skin ea sep/addl	N	N1		
11106		Incal bx skn single les	Y	P3		$117.51
11107		Incal bx skn ea sep/addl	N	N1		
11200		Rmvl skin tags up to&inc 15	N	N1		
11201		Rmvl skin tags ea addl 10	N	N1		
11300		Shave skin lesion 0.5 cm/<	N	N1		
11301		Shave skin lesion 0.6-1.0 cm	N	N1		
11302		Shave skin lesion 1.1-2.0 cm	N	N1		
11303		Shave skin lesion >2.0 cm	N	N1		
11305		Shave skin lesion 0.5 cm/<	N	N1		
11306		Shave skin lesion 0.6-1.0 cm	N	N1		
11307		Shave skin lesion 1.1-2.0 cm	Y	P3		$94.53
11308		Shave skin lesion >2.0 cm	N	N1		
11310		Shave skin lesion 0.5 cm/<	Y	P3		$86.22
11311		Shave skin lesion 0.6-1.0 cm	Y	P3		$96.20
11312		Shave skin lesion 1.1-2.0 cm	Y	P3		$107.51
11313		Shave skin lesion >2.0 cm	Y	P3		$118.84
11400		Exc tr-ext b9+marg 0.5 cm<	Y	P3		$94.87
11401		Exc tr-ext b9+marg 0.6-1 cm	Y	P3		$108.85
11402		Exc tr-ext b9+marg 1.1-2 cm	Y	P3		$118.17
11403		Exc tr-ext b9+marg 2.1-3cm	Y	P3		$128.82
11404		Exc tr-ext b9+marg 3.1-4 cm	Y	A2	12.7598	$682.83
11406		Exc tr-ext b9+marg >4.0 cm	Y	A2	12.7598	$682.83
11420		Exc h-f-nk-sp b9+marg 0.5/<	Y	P3		$89.54
11421		Exc h-f-nk-sp b9+marg 0.6-1	Y	P3		$105.86
11422		Exc h-f-nk-sp b9+marg 1.1-2	Y	P3		$117.17
11423		Exc h-f-nk-sp b9+marg 2.1-3	Y	P3		$128.82
11424		Exc h-f-nk-sp b9+marg 3.1-4	Y	A2	12.7598	$682.83
11426		Exc h-f-nk-sp b9+marg >4 cm	Y	A2	21.6207	"$1,157.01"
11440		Exc face-mm b9+marg 0.5 cm/<	Y	P3		$105.52
11441		Exc face-mm b9+marg 0.6-1 cm	Y	P3		$117.51
11442		Exc face-mm b9+marg 1.1-2 cm	Y	P3		$127.49
11443		Exc face-mm b9+marg 2.1-3 cm	Y	P3		$140.47
11444		Exc face-mm b9+marg 3.1-4 cm	Y	A2	12.7598	$682.83
11446		Exc face-mm b9+marg >4 cm	Y	A2	21.6207	"$1,157.01"
11450		Exc skn hdrdnt ax smpl/ntrm	Y	A2	21.6207	"$1,157.01"
11451		Exc skn hdrdnt ax complex	Y	A2	21.6207	"$1,157.01"
11462		Exc skn hdrdnt ing smpl/ntrm	Y	A2	21.6207	"$1,157.01"
11463		Exc skn hdrdnt ing complex	Y	A2	21.6207	"$1,157.01"
11470		Exc skn h/p/p/u smpl/ntrm	Y	A2	21.6207	"$1,157.01"
11471		Exc skn h/p/p/u complex	Y	A2	21.6207	"$1,157.01"
11600		Exc tr-ext mal+marg 0.5 cm/<	Y	P3		$136.48
11601		Exc tr-ext mal+marg 0.6-1 cm	Y	P3		$152.12
11602		Exc tr-ext mal+marg 1.1-2 cm	Y	P3		$161.45
11603		Exc tr-ext mal+marg 2.1-3 cm	Y	P3		$174.09
11604		Exc tr-ext mal+marg 3.1-4 cm	Y	A2	6.8193	$364.93
11606		Exc tr-ext mal+marg >4 cm	Y	A2	12.7598	$682.83
11620		Exc h-f-nk-sp mal+marg 0.5/<	Y	P3		$136.81
11621		Exc s/n/h/f/g mal+mrg 0.6-1	Y	P3		$152.12
11622		Exc s/n/h/f/g mal+mrg 1.1-2	Y	P3		$164.11
11623		Exc s/n/h/f/g mal+mrg 2.1-3	Y	P3		$179.75
11624		Exc s/n/h/f/g mal+mrg 3.1-4	Y	A2	12.7598	$682.83
11626		Exc s/n/h/f/g mal+mrg >4 cm	Y	A2	21.6207	"$1,157.01"
11640		Exc f/e/e/n/l mal+mrg 0.5cm<	Y	P3		$141.47
11641		Exc f/e/e/n/l mal+mrg 0.6-1	Y	P3		$156.45
11642		Exc f/e/e/n/l mal+mrg 1.1-2	Y	P3		$170.43
11643		Exc f/e/e/n/l mal+mrg 2.1-3	Y	P3		$186.41
11644		Exc f/e/e/n/l mal+mrg 3.1-4	Y	A2	12.7598	$682.83
11646		Exc f/e/e/n/l mal+mrg >4 cm	Y	A2	21.6207	"$1,157.01"
11719		Trim nail(s) any number	N	N1		
11720		Debride nail 1-5	N	N1		
11721		Debride nail 6 or more	N	N1		
11730		Removal of nail plate	N	N1		
11732		Remove nail plate add-on	N	N1		
11740		Drain blood from under nail	N	N1		
11750		Removal of nail bed	Y	P3		$104.19
11755		Biopsy nail unit	Y	P3		$77.23
11760		Repair of nail bed	Y	P3		$124.49
11762		Reconstruction of nail bed	Y	P3		$179.42
11765		Excision of nail fold toe	N	N1		
11770		Remove pilonidal cyst simple	Y	A2	21.6207	"$1,157.01"
11771		Remove pilonidal cyst exten	Y	A2	21.6207	"$1,157.01"
11772		Remove pilonidal cyst compl	Y	A2	21.6207	"$1,157.01"
11900		Inject skin lesions </w 7	N	N1		
11901		Inject skin lesions >7	N	N1		
11920		Correct skin color 6.0 cm/<	Y	P3		$137.47
11921		Correct skn color 6.1-20.0cm	Y	P3		$146.14
11922		Correct skin color ea 20.0cm	N	N1		
11950		Tx contour defects 1 cc/<	Y	P3		$48.60
11951		Tx contour defects 1.1-5.0cc	Y	P3		$61.91
11952		Tx contour defects 5.1-10cc	Y	P3		$78.89
11954		Tx contour defects >10.0 cc	Y	P3		$87.21
11960		Insert tissue expander(s)	Y	A2	34.7726	"$1,860.82"
11970		Rplcmt tiss xpndr perm implt	Y	G2	63.3954	"$3,392.54"
11971		Rmvl tis xpndr wo insj implt	N	A2	21.6207	"$1,157.01"
11976		Remove contraceptive capsule	N	P3		$76.22
11980		Implant hormone pellet(s)	N	N1		
11981		Insertion drug dlvr implant	N	N1		
11982		Remove drug implant device	N	N1		
11983		Remove/insert drug implant	N	N1		
12001		Rpr s/n/ax/gen/trnk 2.5cm/<	N	N1		
12002		Rpr s/n/ax/gen/trnk2.6-7.5cm	N	N1		
12004		Rpr s/n/ax/gen/trk7.6-12.5cm	N	N1		
12005		Rpr s/n/a/gen/trk12.6-20.0cm	N	A2	3.8648	$206.82
12006		Rpr s/n/a/gen/trk20.1-30.0cm	N	A2	3.8648	$206.82
12007		Rpr s/n/ax/gen/trnk >30.0 cm	Y	A2	1.9404	$103.84
12011		Rpr f/e/e/n/l/m 2.5 cm/<	N	N1		
12013		Rpr f/e/e/n/l/m 2.6-5.0 cm	N	N1		
12014		Rpr f/e/e/n/l/m 5.1-7.5 cm	N	N1		
12015		Rpr f/e/e/n/l/m 7.6-12.5 cm	N	G2	1.9404	$103.84
12016		Rpr fe/e/en/l/m 12.6-20.0 cm	N	A2	3.8648	$206.82
12017		Rpr fe/e/en/l/m 20.1-30.0 cm	N	A2	3.8648	$206.82
12018		Rpr f/e/e/n/l/m >30.0 cm	N	A2	1.9404	$103.84
12020		Tx supfc wnd dehsn smpl clsr	Y	A2	6.0874	$325.76
12021		Tx supfc wnd dehsn w/packing	Y	A2	3.8648	$206.82
12031		Intmd rpr s/a/t/ext 2.5 cm/<	Y	P3		$188.41
12032		Intmd rpr s/a/t/ext 2.6-7.5	Y	P2	3.8648	$206.82
12034		Intmd rpr s/tr/ext 7.6-12.5	Y	A2	3.8648	$206.82
12035		Intmd rpr s/a/t/ext 12.6-20	Y	A2	3.8648	$206.82
12036		Intmd rpr s/a/t/ext 20.1-30	Y	A2	6.0874	$325.76
12037		Intmd rpr s/tr/ext >30.0 cm	Y	A2	17.6752	$945.87
12041		Intmd rpr n-hf/genit 2.5cm/<	N	P3		$185.42
12042		Intmd rpr n-hf/genit2.6-7.5	Y	P3		$206.71
12044		Intmd rpr n-hf/genit7.6-12.5	Y	A2	6.0874	$325.76
12045		Intmd rpr n-hf/genit12.6-20	Y	A2	6.0874	$325.76
12046		Intmd rpr n-hf/genit20.1-30	Y	A2	6.0874	$325.76
12047		Intmd rpr n-hf/genit >30.0cm	Y	A2	17.6752	$945.87
12051		Intmd rpr face/mm 2.5 cm/<	Y	P3		$196.06
12052		Intmd rpr face/mm 2.6-5.0 cm	Y	P2	3.8648	$206.82
12053		Intmd rpr face/mm 5.1-7.5 cm	Y	P2	3.8648	$206.82
12054		Intmd rpr face/mm 7.6-12.5cm	N	A2	3.8648	$206.82
12055		Intmd rpr face/mm 12.6-20 cm	Y	A2	3.8648	$206.82
12056		Intmd rpr face/mm 20.1-30.0	N	A2	3.8648	$206.82
12057		Intmd rpr face/mm >30.0 cm	Y	A2	3.8648	$206.82
13100		Cmplx rpr trunk 1.1-2.5 cm	Y	A2	6.0874	$325.76
13101		Cmplx rpr trunk 2.6-7.5 cm	Y	A2	6.0874	$325.76
13102		Cmplx rpr trunk addl 5cm/<	N	N1		
13120		Cmplx rpr s/a/l 1.1-2.5 cm	Y	A2	6.0874	$325.76
13121		Cmplx rpr s/a/l 2.6-7.5 cm	Y	A2	6.0874	$325.76
13122		Cmplx rpr s/a/l addl 5 cm/>	N	N1		
13131		Cmplx rpr f/c/c/m/n/ax/g/h/f	Y	A2	3.8648	$206.82
13132		Cmplx rpr f/c/c/m/n/ax/g/h/f	Y	A2	6.0874	$325.76
13133		Cmplx rpr f/c/c/m/n/ax/g/h/f	N	N1		
13151		Cmplx rpr e/n/e/l 1.1-2.5 cm	Y	A2	6.0874	$325.76
13152		Cmplx rpr e/n/e/l 2.6-7.5 cm	Y	A2	6.0874	$325.76
13153		Cmplx rpr e/n/e/l addl 5cm/<	N	N1		
13160		Sec clsr surg wnd/dehsn xtn	Y	A2	17.6752	$945.87
14000		Tis trnfr trunk 10 sq cm/<	Y	A2	17.6752	$945.87
14001		Tis trnfr trunk 10.1-30sqcm	Y	A2	17.6752	$945.87
14020		Tis trnfr s/a/l 10 sq cm/<	Y	A2	17.6752	$945.87
14021		Tis trnfr s/a/l 10.1-30 sqcm	Y	A2	17.6752	$945.87
14040		Tis trnfr f/c/c/m/n/a/g/h/f	Y	A2	17.6752	$945.87
14041		Tis trnfr f/c/c/m/n/a/g/h/f	Y	A2	17.6752	$945.87
14060		Tis trnfr e/n/e/l 10 sq cm/<	Y	A2	17.6752	$945.87
14061		Tis trnfr e/n/e/l10.1-30sqcm	Y	A2	17.6752	$945.87
14301		Tis trnfr any 30.1-60 sq cm	Y	G2	34.7726	"$1,860.82"
14302		Tis trnfr addl 30 sq cm	N	N1		
14350		Filleted finger/toe flap	Y	A2	17.6752	$945.87
15002		Wound prep trk/arm/leg	Y	A2	17.6752	$945.87
15003		Wound prep addl 100 cm	N	N1		
15004		Wound prep f/n/hf/g	Y	A2	6.0874	$325.76
15005		Wnd prep f/n/hf/g addl cm	N	N1		
15040		Harvest cultured skin graft	Y	A2	17.6752	$945.87
15050		Pinch graft up to 2 cm diam	Y	A2	6.0874	$325.76
15100		Skin splt grft trnk/arm/leg	Y	A2	17.6752	$945.87
15101		Skin splt grft t/a/l add-on	N	N1		
15110		Epidrm autogrft trnk/arm/leg	Y	A2	17.6752	$945.87
15111		Epidrm autogrft t/a/l add-on	N	N1		
15115		Epidrm a-grft face/nck/hf/g	Y	A2	17.6752	$945.87
15116		Epidrm a-grft f/n/hf/g addl	N	N1		
15120		Skn splt a-grft fac/nck/hf/g	Y	A2	34.7726	"$1,860.82"
15121		Skn splt a-grft f/n/hf/g add	N	N1		
15130		Derm autograft trnk/arm/leg	Y	A2	17.6752	$945.87
15131		Derm autograft t/a/l add-on	N	N1		
15135		Derm autograft face/nck/hf/g	Y	A2	34.7726	"$1,860.82"
15136		Derm autograft f/n/hf/g add	N	N1		
15150		Cult skin grft t/arm/leg	Y	A2	17.6752	$945.87
15151		Cult skin grft t/a/l addl	N	N1		
15152		Cult skin graft t/a/l +%	N	N1		
15155		Cult skin graft f/n/hf/g	Y	A2	34.7726	"$1,860.82"
15156		Cult skin grft f/n/hfg add	N	N1		
15157		Cult epiderm grft f/n/hfg +%	N	N1		
15200		Fth grf fr trnk 20 sq cm/<	Y	A2	17.6752	$945.87
15201		Fth grf fr trnk each addl	N	N1		
15220		Fth grf fr s/a/l 20 sq cm/<	Y	A2	17.6752	$945.87
15221		Fth grf fr s/a/l each addl	N	N1		
15240		Fth gr fr f/c/c/m/n/ax/g/h/f	Y	A2	17.6752	$945.87
15241		Fth gr f/c/c/m/n/ax/g/h/f ea	N	N1		
15260		Fth grf fr n/e/e/l 20 sqcm/<	Y	A2	17.6752	$945.87
15261		Fth grf fr n/e/e/l each addl	N	N1		
15271		Skin sub graft trnk/arm/leg	Y	G2	17.6752	$945.87
15272		Skin sub graft t/a/l add-on	N	N1		
15273		Skin sub grft t/arm/lg child	Y	G2	34.7726	"$1,860.82"
15274		Skn sub grft t/a/l child add	N	N1		
15275		Skin sub graft face/nk/hf/g	Y	P3		$91.54
15276		Skin sub graft f/n/hf/g addl	N	N1		
15277		Skn sub grft f/n/hf/g child	Y	G2	17.6752	$945.87
15278		Skn sub grft f/n/hf/g ch add	N	N1		
15570		Skin pedicle flap trunk	Y	A2	17.6752	$945.87
15572		Skin pedicle flap arms/legs	Y	A2	34.7726	"$1,860.82"
15574		Pedcle fh/ch/ch/m/n/ax/g/h/f	Y	A2	17.6752	$945.87
15576		Pedicle e/n/e/l/ntroral	Y	A2	17.6752	$945.87
15600		Delay flap trunk	Y	A2	34.7726	"$1,860.82"
15610		Delay flap arms/legs	Y	A2	17.6752	$945.87
15620		Delay flap f/c/c/n/ax/g/h/f	Y	A2	17.6752	$945.87
15630		Delay flap eye/nos/ear/lip	Y	A2	17.6752	$945.87
15650		Transfer skin pedicle flap	Y	A2	17.6752	$945.87
15730		Mdfc flap w/prsrv vasc pedcl	Y	G2	34.7726	"$1,860.82"
15731		Forehead flap w/vasc pedicle	Y	A2	34.7726	"$1,860.82"
15733		Musc myoq/fscq flp h&n pedcl	Y	A2	34.7726	"$1,860.82"
15734		Muscle-skin graft trunk	Y	A2	34.7726	"$1,860.82"
15736		Muscle-skin graft arm	Y	A2	17.6752	$945.87
15738		Muscle-skin graft leg	Y	A2	34.7726	"$1,860.82"
15740		Island pedicle flap graft	Y	A2	17.6752	$945.87
15750		Neurovascular pedicle flap	Y	A2	34.7726	"$1,860.82"
15760		Composite skin graft	Y	A2	17.6752	$945.87
15769		Grfg autol soft tiss dir exc	Y	G2	34.7726	"$1,860.82"
15770		Derma-fat-fascia graft	Y	A2	34.7726	"$1,860.82"
15771		Grfg autol fat lipo 50 cc/<	Y	G2	34.7726	"$1,860.82"
15773		Grfg autol fat lipo 25 cc/<	Y	G2	17.6752	$945.87
15775		Hair trnspl 1-15 punch grfts	Y	A2	3.8648	$206.82
