Addendum AA -- ASC Covered Surgical Procedures for CY 2023                                                                                                                                (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2022 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2022 American Dental Association.  All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting,July 2023  Payment Indicator,July 2023  Payment Weight  ,July 2023 Payment Rate 
0339T,,Trnscth renal symp denrv bil,N,G2,44.8720,"$2,326.79 "
0342T,,Thxp apheresis w/hdl delip,N,G2,41.7677,"$2,165.82 "
0347T,,Ins bone device for rsa,N,N1,,
0348T,,Rsa spine exam,N,N1,,
0349T,,Rsa upper extr exam,N,N1,,
0350T,,Rsa lower extr exam,N,N1,,
0351T,,Intraop oct brst/node spec,N,N1,,
0353T,,Intraop oct breast cavity,N,N1,,
0379T,,Vis field assmnt tech suppt,N,N1,,
0397T,,Ercp w/optical endomicroscpy,N,N1,,
0402T,*,Colgn crs-link crn&pachymtry,Y,R2,17.4215,$903.37 
0404T,,Trnscrv uterin fibroid abltj,Y,J8,69.5364,"$3,605.74 "
0408T,,Insj/rplc cardiac modulj sys,Y,J8,527.4043,"$27,348.02 "
0409T,,Insj/rplc car modulj pls gn,Y,J8,412.8468,"$21,407.76 "
0410T,,Insj/rplc car modulj atr elt,Y,J8,103.8776,"$5,386.47 "
0411T,,Insj/rplc car modulj vnt elt,Y,J8,103.8776,"$5,386.47 "
0412T,,Rmvl cardiac modulj pls gen,N,G2,33.6443,"$1,744.59 "
0413T,,Rmvl car modulj tranvns elt,N,G2,33.6443,"$1,744.59 "
0414T,,Rmvl & rpl car modulj pls gn,Y,J8,289.6924,"$15,021.71 "
0415T,,Repos car modulj tranvns elt,Y,G2,5.8084,$301.19 
0416T,,Reloc skin pocket pls gen,Y,G2,17.3282,$898.54 
0419T,,Dstrj neurofibroma xtnsv,Y,R2,5.8329,$302.46 
0420T,,Dstrj neurofibroma xtnsv,Y,R2,5.8329,$302.46 
0421T,,Waterjet prostate abltj cmpl,Y,J8,109.8503,"$5,696.18 "
0424T,,Insj/rplc nstim apnea compl,Y,J8,983.2927,"$50,987.66 "
0425T,,Insj/rplc nstim apnea sen ld,Y,J8,204.6311,"$10,610.94 "
0426T,,Insj/rplc nstim apnea stm ld,Y,J8,166.6770,"$8,642.87 "
0427T,,Insj/rplc nstim apnea pls gn,Y,J8,482.5512,"$25,022.21 "
0428T,,Rmvl nstim apnea pls gen,Y,G2,35.0174,"$1,815.79 "
0429T,,Rmvl nstim apnea sen ld,Y,G2,35.0174,"$1,815.79 "
0430T,,Rmvl nstim apnea stimj ld,Y,G2,35.0174,"$1,815.79 "
0431T,,Rmvl/rplc nstim apnea pls gn,Y,J8,457.2197,"$23,708.67 "
0432T,,Repos nstim apnea stimj ld,Y,J8,45.0125,"$2,334.08 "
0433T,,Repos nstim apnea sensing ld,Y,G2,35.0174,"$1,815.79 "
0434T,,Interro eval npgs apnea,N,G2,1.0021,$51.96 
0437T,,Impltj synth rnfcmt abdl wal,N,N1,,
0439T,,Myocrd contrast prfuj echo,N,N1,,
0440T,,Abltj perc uxtr/perph nrv,Y,G2,16.4680,$853.93 
0441T,,Abltj perc lxtr/perph nrv,Y,G2,16.4680,$853.93 
0442T,,Abltj perc plex/trncl nrv,Y,J8,80.8017,"$4,189.89 "
0443T,,R-t spctrl alys prst8 tiss,N,N1,,
0444T,,1st plmt drug elut oc ins,N,N1,,
0445T,,Sbsqt plmt drug elut oc ins,N,N1,,
0446T,,Insj impltbl glucose sensor,Y,P2,17.3282,$898.54 
0447T,,Rmvl impltbl glucose sensor,N,G2,1.8131,$94.02 
0448T,,Remvl insj impltbl gluc sens,Y,G2,17.3282,$898.54 
0449T,,Insj aqueous drain dev 1st,Y,J8,57.4959,"$2,981.39 "
0450T,,Insj aqueous drain dev each,N,N1,,
0465T,,Supchrdl njx rx w/o supply,Y,R2,3.3396,$173.17 
0479T,,Fxjl abl lsr 1st 100 sq cm,Y,G2,5.8329,$302.46 
0480T,,Fxjl abl lsr ea addl 100sqcm,N,N1,,
0499T,,Cysto f/urtl strix/stenosis,Y,G2,28.8577,"$1,496.39 "
0502T,,Cor ffr data prep & transmis,N,N1,,
0503T,,Cor ffr alys gnrj ffr mdl,N,N1,,
0510T,,Rmvl sinus tarsi implant,N,G2,27.2829,"$1,414.73 "
0511T,,Rmvl&rinsj sinus tarsi implt,Y,J8,87.8160,"$4,553.61 "
0512T,*,Esw integ wnd hlg 1st wnd,N,R2,1.8131,$94.02 
0513T,,Esw integ wnd hlg ea addl,N,N1,,
0523T,,Ntrapx c ffr w/3d funcjl map,N,N1,,
0524T,,Ev cath dir chem abltj w/img,Y,J8,37.8773,"$1,964.09 "
0525T,,Insj/rplcmt compl iims,Y,J8,120.8408,"$6,266.08 "
0526T,,Insj/rplcmt iims eltrd only,Y,J8,103.8776,"$5,386.47 "
0527T,,Insj/rplcmt iims implt mntr,Y,J8,145.3298,"$7,535.93 "
0530T,,Removal complete iims,N,G2,33.6443,"$1,744.59 "
0531T,,Removal iims electrode only,N,G2,33.6443,"$1,744.59 "
0532T,,Removal iims implt mntr only,N,G2,33.6443,"$1,744.59 "
0581T,*,Abltj mal brst tum perq crtx,Y,R2,25.0452,"$1,298.69 "
0583T,,Tmpst auto tube dlvr sys,Y,J8,14.6467,$759.49 
0587T,,Perq impltj/rplcmt isdns ptn,Y,J8,115.7099,"$6,000.02 "
0588T,*,Revision/removal isdns ptn,Y,R2,35.0174,"$1,815.79 "
0594T,,Osteot hum xtrnl lngth dev,Y,J8,77.7817,"$4,033.29 "
0596T,,Temp fml iu vlv-pmp 1st insj,Y,R2,5.4541,$282.82 
0597T,,Temp fml iu valve-pmp rplcmt,Y,R2,5.4541,$282.82 
0600T,,Ire abltj 1+tum organ perq,Y,J8,136.4778,"$7,076.92 "
0601T,,Ire abltj 1+tumors open,Y,J8,106.0888,"$5,501.13 "
0614T,,Rmvl&rplcmt ss impl dfb pg,Y,J8,387.3445,"$20,085.36 "
0616T,,Insertion of iris prosthesis,Y,J8,291.3889,"$15,109.68 "
0617T,,Insj iris prosth w/rmvl&insj,Y,J8,302.9444,"$15,708.88 "
0618T,,Insj iris prosth sec io lens,Y,J8,288.6096,"$14,965.56 "
0619T,,Cysto w/prst8 commissurotomy,Y,J8,56.1091,"$2,909.48 "
0620T,,Evasc ven artlz tibl/prnl vn,Y,J8,257.8079,"$13,368.37 "
0627T,,Perq njx algc fluor lmbr 1st,Y,J8,179.5501,"$9,310.39 "
0628T,,Perq njx algc fluor lmbr ea,N,N1,,
0629T,,Perq njx algc ct lmbr 1st,Y,J8,179.5501,"$9,310.39 "
0630T,,Perq njx algc ct lmbr ea,N,N1,,
0632T,,Perq tcat us abltj nrv p-art,Y,J8,188.6292,"$9,781.18 "
0644T,,Tcat rmvl/dblk icar mas perq,Y,J8,67.7982,"$3,515.61 "
0647T,,Insj gtube perq mag gastrpxy,Y,J8,18.6524,$967.20 
0651T,,Mag ctrld capsule endoscopy,Y,J8,10.6541,$552.46 
0652T,,Egd flx transnasal dx br/wa,Y,J8,18.6524,$967.20 
0653T,,Egd flx transnasal bx 1/mlt,Y,J8,18.6524,$967.20 
0654T,,Egd flx transnasal tube/cath,Y,G2,28.9507,"$1,501.21 "
0655T,,Tprnl focal abltj mal prst8,Y,G2,28.8577,"$1,496.39 "
0671T,,Insj ant sgm aq drg dev 1+,Y,J8,31.4059,"$1,628.52 "
0673T,,Abltj b9 thyr ndul perq lasr,Y,G2,12.2852,$637.04 
0686T,,Histotripsy mal hepatcel tis,N,G2,125.5089,"$6,508.14 "
0699T,,Njx pst chmbr eye medication,Y,G2,21.2336,"$1,101.05 "
0707T,,Njx b1 sub mtrl sbchdrl dfct,Y,J8,35.0702,"$1,818.53 "
0714T,,Tprnl lsr ablt b9 prst8 hypr,Y,G2,43.6499,"$2,263.42 "
0775T,,Arthrd si jt prq iartic impl,Y,J8,262.7365,"$13,623.94 "
0793T,,Prq tcat thrm ablt nrv p-art,Y,J8,188.6292,"$9,781.18 "
0797T,,Tcat ins 2chmbr ldls pm rv,Y,J8,188.6292,"$9,781.18 "
0800T,,Tcat rmvl 2chmbr ldls pm rv,Y,J8,35.7905,"$1,855.88 "
0803T,,Tcat rmv&rpl2chmb ldls pm rv,Y,J8,188.6292,"$9,781.18 "
0809T,,Arthrd si jt prq tfx&implt,Y,J8,256.4900,"$13,300.03 "
10004,,Fna bx w/o img gdn ea addl,N,N1,,
10005,,Fna bx w/us gdn 1st les,Y,G2,6.5159,$337.88 
10006,,Fna bx w/us gdn ea addl,N,N1,,
10007,,Fna bx w/fluor gdn 1st les,Y,P3,,$233.82 
10008,,Fna bx w/fluor gdn ea addl,N,N1,,
10009,,Fna bx w/ct gdn 1st les,Y,G2,6.5159,$337.88 
10010,,Fna bx w/ct gdn ea addl,N,N1,,
10011,,Fna bx w/mr gdn 1st les,Y,R2,6.5159,$337.88 
10012,,Fna bx w/mr gdn ea addl,N,N1,,
10021,,Fna bx w/o img gdn 1st les,Y,P3,,$63.71 
10030,,Guide cathet fluid drainage,Y,G2,6.5159,$337.88 
10035,,Perq dev soft tiss 1st imag,Y,N1,,
10036,,Perq dev soft tiss add imag,N,N1,,
10040,,Acne surgery,N,N1,,
10060,,Drainage of skin abscess,Y,P3,,$82.01 
10061,,Drainage of skin abscess,Y,P3,,$122.67 
10080,,Drainage of pilonidal cyst,Y,P3,,$209.08 
10081,,Drainage of pilonidal cyst,Y,P3,,$251.10 
10120,,Remove foreign body,Y,P3,,$106.74 
10121,,Remove foreign body,Y,A2,12.2852,$637.04 
10140,,Drainage of hematoma/fluid,Y,P3,,$111.49 
10160,,Puncture drainage of lesion,Y,P3,,$84.04 
10180,,Complex drainage wound,Y,A2,20.6808,"$1,072.38 "
11000,,Debride infected skin,Y,P3,,$36.94 
11001,,Debride infected skin add-on,N,N1,,
11010,,Debride skin at fx site,Y,A2,6.5159,$337.88 
11011,,Debride skin musc at fx site,Y,A2,6.5159,$337.88 
11012,,Deb skin bone at fx site,Y,A2,20.6808,"$1,072.38 "
11042,,Deb subq tissue 20 sq cm/<,Y,A2,3.7457,$194.23 
11043,,Deb musc/fascia 20 sq cm/<,Y,A2,5.8329,$302.46 
11044,,Deb bone 20 sq cm/<,Y,A2,12.2852,$637.04 
11045,,Deb subq tissue add-on,N,N1,,
11046,,Deb musc/fascia add-on,N,N1,,
11047,,Deb bone add-on,N,N1,,
11055,,Trim skin lesion,N,N1,,
11056,,Trim skin lesions 2 to 4,N,N1,,
11057,,Trim skin lesions over 4,Y,P3,,$67.77 
11102,,Tangntl bx skin single les,Y,P3,,$78.62 
11103,,Tangntl bx skin ea sep/addl,N,N1,,
11104,,Punch bx skin single lesion,Y,P3,,$96.58 
11105,,Punch bx skin ea sep/addl,N,N1,,
11106,,Incal bx skn single les,Y,P3,,$120.30 
11107,,Incal bx skn ea sep/addl,N,N1,,
11200,,Removal of skin tags <w/15,N,N1,,
11201,,Remove skin tags add-on,N,N1,,
11300,,Shave skin lesion 0.5 cm/<,N,N1,,
11301,,Shave skin lesion 0.6-1.0 cm,N,N1,,
11302,,Shave skin lesion 1.1-2.0 cm,N,N1,,
11303,,Shave skin lesion >2.0 cm,N,N1,,
11305,,Shave skin lesion 0.5 cm/<,N,N1,,
11306,,Shave skin lesion 0.6-1.0 cm,N,N1,,
11307,,Shave skin lesion 1.1-2.0 cm,Y,P2,1.8131,$94.02 
11308,,Shave skin lesion >2.0 cm,N,N1,,
11310,,Shave skin lesion 0.5 cm/<,Y,P3,,$88.45 
11311,,Shave skin lesion 0.6-1.0 cm,Y,P2,1.8131,$94.02 
11312,,Shave skin lesion 1.1-2.0 cm,Y,P3,,$109.79 
11313,,Shave skin lesion >2.0 cm,Y,P3,,$121.32 
11400,,Exc tr-ext b9+marg 0.5 cm<,Y,P3,,$95.90 
11401,,Exc tr-ext b9+marg 0.6-1 cm,Y,P3,,$109.79 
11402,,Exc tr-ext b9+marg 1.1-2 cm,Y,P3,,$119.28 
11403,,Exc tr-ext b9+marg 2.1-3cm,Y,P3,,$129.79 
11404,,Exc tr-ext b9+marg 3.1-4 cm,Y,A2,12.2852,$637.04 
11406,,Exc tr-ext b9+marg >4.0 cm,Y,A2,12.2852,$637.04 
11420,,Exc h-f-nk-sp b9+marg 0.5/<,Y,P3,,$91.16 
11421,,Exc h-f-nk-sp b9+marg 0.6-1,Y,P3,,$107.08 
11422,,Exc h-f-nk-sp b9+marg 1.1-2,Y,P3,,$118.27 
11423,,Exc h-f-nk-sp b9+marg 2.1-3,Y,P3,,$129.11 
11424,,Exc h-f-nk-sp b9+marg 3.1-4,Y,A2,12.2852,$637.04 
11426,,Exc h-f-nk-sp b9+marg >4 cm,Y,A2,20.6808,"$1,072.38 "
11440,,Exc face-mm b9+marg 0.5 cm/<,Y,P3,,$106.74 
11441,,Exc face-mm b9+marg 0.6-1 cm,Y,P3,,$118.94 
11442,,Exc face-mm b9+marg 1.1-2 cm,Y,P3,,$129.11 
11443,,Exc face-mm b9+marg 2.1-3 cm,Y,P3,,$142.33 
11444,,Exc face-mm b9+marg 3.1-4 cm,Y,A2,12.2852,$637.04 
11446,,Exc face-mm b9+marg >4 cm,Y,A2,20.6808,"$1,072.38 "
11450,,Removal sweat gland lesion,Y,A2,20.6808,"$1,072.38 "
11451,,Removal sweat gland lesion,Y,A2,20.6808,"$1,072.38 "
11462,,Removal sweat gland lesion,Y,A2,20.6808,"$1,072.38 "
11463,,Removal sweat gland lesion,Y,A2,20.6808,"$1,072.38 "
11470,,Removal sweat gland lesion,Y,A2,20.6808,"$1,072.38 "
11471,,Removal sweat gland lesion,Y,A2,20.6808,"$1,072.38 "
11600,,Exc tr-ext mal+marg 0.5 cm/<,Y,P3,,$138.60 
11601,,Exc tr-ext mal+marg 0.6-1 cm,Y,P3,,$153.85 
11602,,Exc tr-ext mal+marg 1.1-2 cm,Y,P3,,$163.34 
11603,,Exc tr-ext mal+marg 2.1-3 cm,Y,P3,,$176.21 
11604,,Exc tr-ext mal+marg 3.1-4 cm,Y,A2,6.5159,$337.88 
11606,,Exc tr-ext mal+marg >4 cm,Y,A2,12.2852,$637.04 
11620,,Exc h-f-nk-sp mal+marg 0.5/<,Y,P3,,$139.28 
11621,,Exc s/n/h/f/g mal+mrg 0.6-1,Y,P3,,$154.53 
11622,,Exc s/n/h/f/g mal+mrg 1.1-2,Y,P3,,$166.05 
11623,,Exc s/n/h/f/g mal+mrg 2.1-3,Y,P3,,$181.97 
11624,,Exc s/n/h/f/g mal+mrg 3.1-4,Y,A2,12.2852,$637.04 
11626,,Exc s/n/h/f/g mal+mrg >4 cm,Y,A2,20.6808,"$1,072.38 "
11640,,Exc f/e/e/n/l mal+mrg 0.5cm<,Y,P3,,$143.34 
11641,,Exc f/e/e/n/l mal+mrg 0.6-1,Y,P3,,$158.59 
11642,,Exc f/e/e/n/l mal+mrg 1.1-2,Y,P3,,$172.82 
11643,,Exc f/e/e/n/l mal+mrg 2.1-3,Y,P3,,$189.09 
11644,,Exc f/e/e/n/l mal+mrg 3.1-4,Y,A2,12.2852,$637.04 
11646,,Exc f/e/e/n/l mal+mrg >4 cm,Y,A2,20.6808,"$1,072.38 "
11719,,Trim nail(s) any number,N,N1,,
11720,,Debride nail 1-5,N,N1,,
11721,,Debride nail 6 or more,N,N1,,
11730,,Removal of nail plate,N,N1,,
11732,,Remove nail plate add-on,N,N1,,
11740,,Drain blood from under nail,N,N1,,
11750,,Removal of nail bed,Y,P3,,$104.03 
11755,,Biopsy nail unit,Y,P3,,$78.62 
11760,,Repair of nail bed,Y,P3,,$128.43 
11762,,Reconstruction of nail bed,Y,P3,,$181.97 
11765,,Excision of nail fold toe,N,N1,,
11770,,Remove pilonidal cyst simple,Y,A2,20.6808,"$1,072.38 "
11771,,Remove pilonidal cyst exten,Y,A2,20.6808,"$1,072.38 "
11772,,Remove pilonidal cyst compl,Y,A2,20.6808,"$1,072.38 "
11900,,Inject skin lesions </w 7,N,N1,,
11901,,Inject skin lesions >7,N,N1,,
11920,,Correct skin color 6.0 cm/<,Y,P3,,$132.16 
11921,,Correct skn color 6.1-20.0cm,Y,P3,,$150.12 
11922,,Correct skin color ea 20.0cm,N,N1,,
11950,,Tx contour defects 1 cc/<,Y,P3,,$48.80 
11951,,Tx contour defects 1.1-5.0cc,Y,P3,,$62.01 
11952,,Tx contour defects 5.1-10cc,Y,P3,,$79.30 
11954,,Tx contour defects >10.0 cc,Y,P3,,$87.43 
11960,,Insert tissue expander(s),Y,A2,32.6616,"$1,693.63 "
11970,,Rplcmt tiss xpndr perm implt,Y,J8,77.7817,"$4,033.29 "
11971,,Rmvl tis xpndr wo insj implt,N,A2,20.6808,"$1,072.38 "
11976,,Remove contraceptive capsule,N,P3,,$76.92 
11980,,Implant hormone pellet(s),N,N1,,
11981,,Insertion drug dlvr implant,N,N1,,
11982,,Remove drug implant device,N,N1,,
11983,,Remove/insert drug implant,N,N1,,
12001,,Rpr s/n/ax/gen/trnk 2.5cm/<,N,N1,,
12002,,Rpr s/n/ax/gen/trnk2.6-7.5cm,N,N1,,
12004,,Rpr s/n/ax/gen/trk7.6-12.5cm,N,N1,,
12005,,Rpr s/n/a/gen/trk12.6-20.0cm,N,A2,3.7457,$194.23 
12006,,Rpr s/n/a/gen/trk20.1-30.0cm,N,A2,3.7457,$194.23 
12007,,Rpr s/n/ax/gen/trnk >30.0 cm,Y,A2,1.8131,$94.02 
12011,,Rpr f/e/e/n/l/m 2.5 cm/<,N,N1,,
12013,,Rpr f/e/e/n/l/m 2.6-5.0 cm,N,N1,,
12014,,Rpr f/e/e/n/l/m 5.1-7.5 cm,N,N1,,
12015,,Rpr f/e/e/n/l/m 7.6-12.5 cm,N,G2,1.8131,$94.02 
12016,,Rpr fe/e/en/l/m 12.6-20.0 cm,N,A2,3.7457,$194.23 
12017,,Rpr fe/e/en/l/m 20.1-30.0 cm,N,A2,3.7457,$194.23 
12018,,Rpr f/e/e/n/l/m >30.0 cm,N,A2,1.8131,$94.02 
12020,,Closure of split wound,Y,A2,5.8329,$302.46 
12021,,Closure of split wound,Y,A2,3.7457,$194.23 
12031,,Intmd rpr s/a/t/ext 2.5 cm/<,Y,P3,,$192.14 
12032,,Intmd rpr s/a/t/ext 2.6-7.5,Y,P2,3.7457,$194.23 
12034,,Intmd rpr s/tr/ext 7.6-12.5,Y,A2,3.7457,$194.23 
12035,,Intmd rpr s/a/t/ext 12.6-20,Y,A2,3.7457,$194.23 
12036,,Intmd rpr s/a/t/ext 20.1-30,Y,A2,5.8329,$302.46 
12037,,Intmd rpr s/tr/ext >30.0 cm,Y,A2,17.3282,$898.54 
12041,,Intmd rpr n-hf/genit 2.5cm/<,N,P3,,$189.43 
12042,,Intmd rpr n-hf/genit2.6-7.5,Y,P2,3.7457,$194.23 
12044,,Intmd rpr n-hf/genit7.6-12.5,Y,A2,5.8329,$302.46 
12045,,Intmd rpr n-hf/genit12.6-20,Y,A2,5.8329,$302.46 
12046,,Intmd rpr n-hf/genit20.1-30,Y,A2,5.8329,$302.46 
12047,,Intmd rpr n-hf/genit >30.0cm,Y,A2,17.3282,$898.54 
12051,,Intmd rpr face/mm 2.5 cm/<,Y,P2,3.7457,$194.23 
12052,,Intmd rpr face/mm 2.6-5.0 cm,Y,P2,3.7457,$194.23 
12053,,Intmd rpr face/mm 5.1-7.5 cm,Y,P2,3.7457,$194.23 
12054,,Intmd rpr face/mm 7.6-12.5cm,N,A2,3.7457,$194.23 
12055,,Intmd rpr face/mm 12.6-20 cm,Y,A2,3.7457,$194.23 
12056,,Intmd rpr face/mm 20.1-30.0,N,A2,3.7457,$194.23 
12057,,Intmd rpr face/mm >30.0 cm,Y,A2,3.7457,$194.23 
13100,,Cmplx rpr trunk 1.1-2.5 cm,Y,A2,5.8329,$302.46 
13101,,Cmplx rpr trunk 2.6-7.5 cm,Y,A2,5.8329,$302.46 
13102,,Cmplx rpr trunk addl 5cm/<,N,N1,,
13120,,Cmplx rpr s/a/l 1.1-2.5 cm,Y,A2,5.8329,$302.46 
13121,,Cmplx rpr s/a/l 2.6-7.5 cm,Y,A2,5.8329,$302.46 
13122,,Cmplx rpr s/a/l addl 5 cm/>,N,N1,,
13131,,Cmplx rpr f/c/c/m/n/ax/g/h/f,Y,A2,3.7457,$194.23 
13132,,Cmplx rpr f/c/c/m/n/ax/g/h/f,Y,A2,5.8329,$302.46 
13133,,Cmplx rpr f/c/c/m/n/ax/g/h/f,N,N1,,
13151,,Cmplx rpr e/n/e/l 1.1-2.5 cm,Y,A2,5.8329,$302.46 
13152,,Cmplx rpr e/n/e/l 2.6-7.5 cm,Y,A2,5.8329,$302.46 
13153,,Cmplx rpr e/n/e/l addl 5cm/<,N,N1,,
13160,,Late closure of wound,Y,A2,17.3282,$898.54 
14000,,Tis trnfr trunk 10 sq cm/<,Y,A2,17.3282,$898.54 
14001,,Tis trnfr trunk 10.1-30sqcm,Y,A2,17.3282,$898.54 
14020,,Tis trnfr s/a/l 10 sq cm/<,Y,A2,17.3282,$898.54 
14021,,Tis trnfr s/a/l 10.1-30 sqcm,Y,A2,17.3282,$898.54 
14040,,Tis trnfr f/c/c/m/n/a/g/h/f,Y,A2,17.3282,$898.54 
14041,,Tis trnfr f/c/c/m/n/a/g/h/f,Y,A2,17.3282,$898.54 
14060,,Tis trnfr e/n/e/l 10 sq cm/<,Y,A2,17.3282,$898.54 
14061,,Tis trnfr e/n/e/l10.1-30sqcm,Y,A2,17.3282,$898.54 
14301,,Tis trnfr any 30.1-60 sq cm,Y,G2,32.6616,"$1,693.63 "
14302,,Tis trnfr addl 30 sq cm,N,N1,,
14350,,Filleted finger/toe flap,Y,A2,17.3282,$898.54 
15002,,Wound prep trk/arm/leg,Y,A2,17.3282,$898.54 
15003,,Wound prep addl 100 cm,N,N1,,
15004,,Wound prep f/n/hf/g,Y,A2,5.8329,$302.46 
15005,,Wnd prep f/n/hf/g addl cm,N,N1,,
15040,,Harvest cultured skin graft,Y,A2,17.3282,$898.54 
15050,,Skin pinch graft,Y,A2,5.8329,$302.46 
15100,,Skin splt grft trnk/arm/leg,Y,A2,17.3282,$898.54 
15101,,Skin splt grft t/a/l add-on,N,N1,,
15110,,Epidrm autogrft trnk/arm/leg,Y,A2,17.3282,$898.54 
15111,,Epidrm autogrft t/a/l add-on,N,N1,,
15115,,Epidrm a-grft face/nck/hf/g,Y,A2,17.3282,$898.54 
15116,,Epidrm a-grft f/n/hf/g addl,N,N1,,
15120,,Skn splt a-grft fac/nck/hf/g,Y,A2,32.6616,"$1,693.63 "
15121,,Skn splt a-grft f/n/hf/g add,N,N1,,
15130,,Derm autograft trnk/arm/leg,Y,A2,17.3282,$898.54 
15131,,Derm autograft t/a/l add-on,N,N1,,
15135,,Derm autograft face/nck/hf/g,Y,A2,32.6616,"$1,693.63 "
15136,,Derm autograft f/n/hf/g add,N,N1,,
15150,,Cult skin grft t/arm/leg,Y,A2,17.3282,$898.54 
15151,,Cult skin grft t/a/l addl,N,N1,,
15152,,Cult skin graft t/a/l +%,N,N1,,
15155,,Cult skin graft f/n/hf/g,Y,A2,32.6616,"$1,693.63 "
15156,,Cult skin grft f/n/hfg add,N,N1,,
15157,,Cult epiderm grft f/n/hfg +%,N,N1,,
15200,,Skin full graft trunk,Y,A2,17.3282,$898.54 
15201,,Skin full graft trunk add-on,N,N1,,
15220,,Skin full graft sclp/arm/leg,Y,A2,17.3282,$898.54 
15221,,Skin full graft add-on,N,N1,,
15240,,Skin full grft face/genit/hf,Y,A2,17.3282,$898.54 
15241,,Skin full graft add-on,N,N1,,
15260,,Skin full graft een & lips,Y,A2,17.3282,$898.54 
15261,,Skin full graft add-on,N,N1,,
15271,,Skin sub graft trnk/arm/leg,Y,G2,17.3282,$898.54 
15272,,Skin sub graft t/a/l add-on,N,N1,,
15273,,Skin sub grft t/arm/lg child,Y,G2,32.6616,"$1,693.63 "
15274,,Skn sub grft t/a/l child add,N,N1,,
15275,,Skin sub graft face/nk/hf/g,Y,P3,,$92.17 
15276,,Skin sub graft f/n/hf/g addl,N,N1,,
15277,,Skn sub grft f/n/hf/g child,Y,G2,17.3282,$898.54 
15278,,Skn sub grft f/n/hf/g ch add,N,N1,,
15570,,Skin pedicle flap trunk,Y,A2,17.3282,$898.54 
15572,,Skin pedicle flap arms/legs,Y,A2,32.6616,"$1,693.63 "
15574,,Pedcle fh/ch/ch/m/n/ax/g/h/f,Y,A2,17.3282,$898.54 
15576,,Pedicle e/n/e/l/ntroral,Y,A2,17.3282,$898.54 
15600,,Delay flap trunk,Y,A2,32.6616,"$1,693.63 "
15610,,Delay flap arms/legs,Y,A2,17.3282,$898.54 
15620,,Delay flap f/c/c/n/ax/g/h/f,Y,A2,17.3282,$898.54 
15630,,Delay flap eye/nos/ear/lip,Y,A2,17.3282,$898.54 
15650,,Transfer skin pedicle flap,Y,A2,17.3282,$898.54 
15730,,Mdfc flap w/prsrv vasc pedcl,Y,G2,32.6616,"$1,693.63 "
