Addendum AA -- ASC Covered Surgical Procedures for CY 2022                                                                                                      (Including Surgical Procedures for Which Payment is Packaged),,,,,,
"CPT codes and descriptions only are copyright 2021 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2021 American Dental Association.  All Rights Reserved. The existence or absence of a HCPCS code does not mean that an item or service is covered or non-covered. As a reminder, the fact that a drug, device, procedure, or service is assigned a HCPCS code and a payment rate under the OPPS does not imply coverage by the Medicare program, but indicates only how the product, procedure, or service may be paid if covered by the program. Medicare Administrative Contractors (MACs) determine whether a drug, device, procedure, or other service meets all program requirements for coverage. For example, MACs determine that it is reasonable and necessary to treat the beneficiary’s condition and whether it is excluded from payment.",,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting, Jan 2022 Payment Indicator, Jan 2022 Payment Weight  , Jan 2022 Payment Rate 
0429T,,Rmvl nstim apnea sen ld,Y,G2,37.5558,"$1,874.64 "
0430T,,Rmvl nstim apnea stimj ld,Y,G2,37.5558,"$1,874.64 "
0431T,,Rmvl/rplc nstim apnea pls gn,Y,J8,479.2059,"$23,920.04 "
0432T,,Repos nstim apnea stimj ld,Y,J8,48.8925,"$2,440.52 "
0433T,,Repos nstim apnea sensing ld,Y,G2,37.5558,"$1,874.64 "
0434T,,Interro eval npgs apnea,N,G2,1.0407,$51.95 
0437T,,Impltj synth rnfcmt abdl wal,N,N1,,
0439T,,Myocrd contrast prfuj echo,N,N1,,
0440T,,Abltj perc uxtr/perph nrv,Y,G2,16.5264,$824.93 
0441T,,Abltj perc lxtr/perph nrv,Y,G2,16.5264,$824.93 
0442T,,Abltj perc plex/trncl nrv,Y,J8,84.1958,"$4,202.72 "
0443T,,R-t spctrl alys prst8 tiss,N,N1,,
0444T,,1st plmt drug elut oc ins,N,N1,,
0445T,,Sbsqt plmt drug elut oc ins,N,N1,,
0446T,,Insj impltbl glucose sensor,Y,G2,17.7550,$886.26 
0447T,,Rmvl impltbl glucose sensor,N,G2,1.8616,$92.92 
0448T,,Remvl insj impltbl gluc sens,Y,G2,17.7550,$886.26 
0449T,,Insj aqueous drain dev 1st,Y,J8,59.5701,"$2,973.50 "
0450T,,Insj aqueous drain dev each,N,N1,,
0465T,,Supchrdl njx rx w/o supply,Y,R2,3.3052,$164.98 
0471T,,Oct skn img acquisj i&r addl,N,N1,,
0479T,,Fxjl abl lsr 1st 100 sq cm,Y,G2,5.4291,$271.00 
0480T,,Fxjl abl lsr ea addl 100sqcm,N,N1,,
0487T,,Trvg biomchn mapg w/reprt,N,N1,,
0491T,,Abl lsr opn wnd 1st 20 sqcm,Y,G2,3.5830,$178.85 
0492T,,Abl lsr opn wnd addl 20 sqcm,N,N1,,
0493T,,Cntc near ifr spectrsc wound,N,N1,,
0499T,,Cysto f/urtl strix/stenosis,Y,G2,28.6204,"$1,428.62 "
0502T,,Cor ffr data prep & transmis,N,N1,,
0503T,,Cor ffr alys gnrj ffr mdl,N,N1,,
0510T,,Rmvl sinus tarsi implant,N,G2,27.2525,"$1,360.34 "
0511T,,Rmvl&rinsj sinus tarsi implt,Y,J8,88.7285,"$4,428.97 "
0512T,*,Esw integ wnd hlg 1st wnd,N,R2,1.8616,$92.92 
0513T,,Esw integ wnd hlg ea addl,N,N1,,
0514T,,Intraop vis axis id pt fixj,N,N1,,
0523T,,Ntrapx c ffr w/3d funcjl map,N,N1,,
0524T,,Ev cath dir chem abltj w/img,Y,G2,28.0026,"$1,397.78 "
0525T,,Insj/rplcmt compl iims,Y,J8,128.2254,"$6,400.50 "
0526T,,Insj/rplcmt iims eltrd only,Y,J8,108.2557,"$5,403.69 "
0527T,,Insj/rplcmt iims implt mntr,Y,G2,83.1544,"$4,150.74 "
0530T,,Removal complete iims,N,G2,35.6959,"$1,781.80 "
0531T,,Removal iims electrode only,N,G2,35.6959,"$1,781.80 "
0532T,,Removal iims implt mntr only,N,G2,35.6959,"$1,781.80 "
0583T,,Tmpst auto tube dlvr sys,Y,J8,13.7132,$684.51 
0587T,,Perq impltj/rplcmt isdns ptn,Y,J8,95.8735,"$4,785.62 "
0588T,*,Revision/removal isdns ptn,Y,R2,37.5558,"$1,874.64 "
0594T,,Osteot hum xtrnl lngth dev,Y,J8,78.1950,"$3,903.18 "
0596T,,Temp fml iu vlv-pmp 1st insj,Y,R2,5.9638,$297.69 
0597T,,Temp fml iu valve-pmp rplcmt,Y,R2,5.9638,$297.69 
0600T,,Ire abltj 1+tum organ perq,Y,J8,125.0515,"$6,242.07 "
0601T,,Ire abltj 1+tumors open,Y,J8,101.3903,"$5,061.00 "
0614T,,Rmvl&rplcmt ss impl dfb pg,Y,J8,308.3380,"$15,391.00 "
0616T,,Insertion of iris prosthesis,Y,J8,27.7094,"$1,383.14 "
0617T,,Insj iris prosth w/rmvl&insj,Y,J8,49.9936,"$2,495.48 "
0618T,,Insj iris prosth sec io lens,Y,J8,49.9936,"$2,495.48 "
0619T,,Cysto w/prst8 commissurotomy,Y,J8,55.0775,"$2,749.25 "
0620T,,Evasc ven artlz tibl/prnl vn,Y,J8,188.4732,"$9,407.83 "
0627T,,Perq njx algc fluor lmbr 1st,Y,G2,120.4779,"$6,013.77 "
0628T,,Perq njx algc fluor lmbr ea,N,N1,,
0629T,,Perq njx algc ct lmbr 1st,Y,G2,120.4779,"$6,013.77 "
0630T,,Perq njx algc ct lmbr ea,N,N1,,
0632T,,Perq tcat us abltj nrv p-art,Y,J8,188.4732,"$9,407.83 "
0644T,,Tcat rmvl/dblk icar mas perq,Y,J8,57.5379,"$2,872.06 "
0647T,,Insj gtube perq mag gastrpxy,Y,J8,18.4185,$919.38 
0651T,,Mag ctrld capsule endoscopy,Y,J8,10.9199,$545.08 
0652T,,Egd flx transnasal dx br/wa,Y,J8,10.9199,$545.08 
0653T,,Egd flx transnasal bx 1/mlt,Y,J8,10.9199,$545.08 
0654T,,Egd flx transnasal tube/cath,Y,J8,18.4185,$919.38 
0655T,,Tprnl focal abltj mal prst8,Y,G2,28.6204,"$1,428.62 "
0671T,,Insj ant sgm aq drg dev 1+,Y,J8,32.0679,"$1,600.70 "
0673T,,Abltj b9 thyr ndul perq lasr,Y,G2,12.1817,$608.06 
0686T,,Histotripsy mal hepatcel tis,N,G2,126.8806,"$6,333.37 "
0699T,,Njx pst chmbr eye medication,Y,G2,21.2843,"$1,062.43 "
0707T,,Njx b1 sub mtrl sbchdrl dfct,Y,J8,35.4790,"$1,770.97 "
10004,,Fna bx w/o img gdn ea addl,N,N1,,
10005,,Fna bx w/us gdn 1st les,Y,G2,6.4508,$322.00 
10006,,Fna bx w/us gdn ea addl,N,N1,,
10007,,Fna bx w/fluor gdn 1st les,Y,P3,,$242.59 
10008,,Fna bx w/fluor gdn ea addl,N,N1,,
10009,,Fna bx w/ct gdn 1st les,Y,G2,6.4508,$322.00 
10010,,Fna bx w/ct gdn ea addl,N,N1,,
10011,,Fna bx w/mr gdn 1st les,Y,R2,6.4508,$322.00 
10012,,Fna bx w/mr gdn ea addl,N,N1,,
10021,,Fna bx w/o img gdn 1st les,Y,P3,,$64.71 
10030,,Guide cathet fluid drainage,Y,G2,6.4508,$322.00 
10035,,Perq dev soft tiss 1st imag,Y,N1,,
10036,,Perq dev soft tiss add imag,N,N1,,
10040,,Acne surgery,N,N1,,
10060,,Drainage of skin abscess,Y,P3,,$81.32 
10061,,Drainage of skin abscess,Y,P3,,$122.85 
10080,,Drainage of pilonidal cyst,Y,P3,,$217.67 
10081,,Drainage of pilonidal cyst,Y,P3,,$261.62 
10120,,Remove foreign body,Y,P3,,$107.97 
10121,,Remove foreign body,Y,A2,12.1817,$608.06 
10140,,Drainage of hematoma/fluid,Y,P3,,$113.51 
10160,,Puncture drainage of lesion,Y,P3,,$84.79 
10180,,Complex drainage wound,Y,A2,20.4143,"$1,019.00 "
11000,,Debride infected skin,Y,P3,,$37.37 
11001,,Debride infected skin add-on,N,N1,,
11010,,Debride skin at fx site,Y,A2,6.4508,$322.00 
11011,,Debride skin musc at fx site,Y,A2,6.4508,$322.00 
11012,,Deb skin bone at fx site,Y,A2,20.4143,"$1,019.00 "
11042,,Deb subq tissue 20 sq cm/<,Y,A2,3.5830,$178.85 
11043,,Deb musc/fascia 20 sq cm/<,Y,A2,5.4291,$271.00 
11044,,Deb bone 20 sq cm/<,Y,A2,12.1817,$608.06 
11045,,Deb subq tissue add-on,N,N1,,
11046,,Deb musc/fascia add-on,N,N1,,
11047,,Deb bone add-on,N,N1,,
11055,,Trim skin lesion,N,N1,,
11056,,Trim skin lesions 2 to 4,N,N1,,
11057,,Trim skin lesions over 4,Y,P3,,$69.56 
11102,,Tangntl bx skin single les,Y,P3,,$80.29 
11103,,Tangntl bx skin ea sep/addl,N,N1,,
11104,,Punch bx skin single lesion,Y,P3,,$99.32 
11105,,Punch bx skin ea sep/addl,N,N1,,
11106,,Incal bx skn single les,Y,P3,,$123.54 
11107,,Incal bx skn ea sep/addl,N,N1,,
11200,,Removal of skin tags <w/15,N,N1,,
11201,,Remove skin tags add-on,N,N1,,
11300,,Shave skin lesion 0.5 cm/<,N,N1,,
11301,,Shave skin lesion 0.6-1.0 cm,N,N1,,
11302,,Shave skin lesion 1.1-2.0 cm,N,N1,,
11303,,Shave skin lesion >2.0 cm,N,N1,,
11305,,Shave skin lesion 0.5 cm/<,N,N1,,
11306,,Shave skin lesion 0.6-1.0 cm,N,N1,,
11307,,Shave skin lesion 1.1-2.0 cm,Y,P2,1.8616,$92.92 
11308,,Shave skin lesion >2.0 cm,N,N1,,
11310,,Shave skin lesion 0.5 cm/<,Y,P3,,$89.98 
11311,,Shave skin lesion 0.6-1.0 cm,Y,P2,1.8616,$92.92 
11312,,Shave skin lesion 1.1-2.0 cm,Y,P3,,$111.78 
11313,,Shave skin lesion >2.0 cm,Y,P3,,$123.20 
11400,,Exc tr-ext b9+marg 0.5 cm<,Y,P3,,$97.24 
11401,,Exc tr-ext b9+marg 0.6-1 cm,Y,P3,,$111.43 
11402,,Exc tr-ext b9+marg 1.1-2 cm,Y,P3,,$120.78 
11403,,Exc tr-ext b9+marg 2.1-3cm,Y,P3,,$131.50 
11404,,Exc tr-ext b9+marg 3.1-4 cm,Y,A2,12.1817,$608.06 
11406,,Exc tr-ext b9+marg >4.0 cm,Y,A2,12.1817,$608.06 
11420,,Exc h-f-nk-sp b9+marg 0.5/<,Y,P3,,$92.74 
11421,,Exc h-f-nk-sp b9+marg 0.6-1,Y,P3,,$108.32 
11422,,Exc h-f-nk-sp b9+marg 1.1-2,Y,P3,,$119.74 
11423,,Exc h-f-nk-sp b9+marg 2.1-3,Y,P3,,$130.47 
11424,,Exc h-f-nk-sp b9+marg 3.1-4,Y,A2,12.1817,$608.06 
11426,,Exc h-f-nk-sp b9+marg >4 cm,Y,A2,20.4143,"$1,019.00 "
11440,,Exc face-mm b9+marg 0.5 cm/<,Y,P3,,$107.97 
11441,,Exc face-mm b9+marg 0.6-1 cm,Y,P3,,$120.08 
11442,,Exc face-mm b9+marg 1.1-2 cm,Y,P3,,$129.77 
11443,,Exc face-mm b9+marg 2.1-3 cm,Y,P3,,$142.92 
11444,,Exc face-mm b9+marg 3.1-4 cm,Y,A2,12.1817,$608.06 
11446,,Exc face-mm b9+marg >4 cm,Y,A2,20.4143,"$1,019.00 "
11450,,Removal sweat gland lesion,Y,A2,20.4143,"$1,019.00 "
11451,,Removal sweat gland lesion,Y,A2,20.4143,"$1,019.00 "
11462,,Removal sweat gland lesion,Y,A2,20.4143,"$1,019.00 "
11463,,Removal sweat gland lesion,Y,A2,20.4143,"$1,019.00 "
11470,,Removal sweat gland lesion,Y,A2,20.4143,"$1,019.00 "
11471,,Removal sweat gland lesion,Y,A2,20.4143,"$1,019.00 "
11600,,Exc tr-ext mal+marg 0.5 cm/<,Y,P3,,$140.85 
11601,,Exc tr-ext mal+marg 0.6-1 cm,Y,P3,,$155.38 
11602,,Exc tr-ext mal+marg 1.1-2 cm,Y,P3,,$164.03 
11603,,Exc tr-ext mal+marg 2.1-3 cm,Y,P3,,$176.84 
11604,,Exc tr-ext mal+marg 3.1-4 cm,Y,A2,6.4508,$322.00 
11606,,Exc tr-ext mal+marg >4 cm,Y,A2,12.1817,$608.06 
11620,,Exc h-f-nk-sp mal+marg 0.5/<,Y,P3,,$141.19 
11621,,Exc s/n/h/f/g mal+mrg 0.6-1,Y,P3,,$155.73 
11622,,Exc s/n/h/f/g mal+mrg 1.1-2,Y,P3,,$166.80 
11623,,Exc s/n/h/f/g mal+mrg 2.1-3,Y,P3,,$183.07 
11624,,Exc s/n/h/f/g mal+mrg 3.1-4,Y,A2,12.1817,$608.06 
11626,,Exc s/n/h/f/g mal+mrg >4 cm,Y,A2,20.4143,"$1,019.00 "
11640,,Exc f/e/e/n/l mal+mrg 0.5cm<,Y,P3,,$145.00 
11641,,Exc f/e/e/n/l mal+mrg 0.6-1,Y,P3,,$159.88 
11642,,Exc f/e/e/n/l mal+mrg 1.1-2,Y,P3,,$173.72 
11643,,Exc f/e/e/n/l mal+mrg 2.1-3,Y,P3,,$190.33 
11644,,Exc f/e/e/n/l mal+mrg 3.1-4,Y,A2,12.1817,$608.06 
11646,,Exc f/e/e/n/l mal+mrg >4 cm,Y,A2,20.4143,"$1,019.00 "
11719,,Trim nail(s) any number,N,N1,,
11720,,Debride nail 1-5,N,N1,,
11721,,Debride nail 6 or more,N,N1,,
11730,,Removal of nail plate,N,N1,,
11732,,Remove nail plate add-on,N,N1,,
11740,,Drain blood from under nail,N,N1,,
11750,,Removal of nail bed,Y,P3,,$105.89 
11755,,Biopsy nail unit,Y,P3,,$80.29 
11760,,Repair of nail bed,Y,P3,,$131.50 
11762,,Reconstruction of nail bed,Y,P3,,$186.18 
11765,,Excision of nail fold toe,N,N1,,
11770,,Remove pilonidal cyst simple,Y,A2,20.4143,"$1,019.00 "
11771,,Remove pilonidal cyst exten,Y,A2,20.4143,"$1,019.00 "
11772,,Remove pilonidal cyst compl,Y,A2,20.4143,"$1,019.00 "
11900,,Inject skin lesions </w 7,N,N1,,
11901,,Inject skin lesions >7,N,N1,,
11920,,Correct skin color 6.0 cm/<,Y,P3,,$135.66 
11921,,Correct skn color 6.1-20.0cm,Y,P3,,$149.84 
11922,,Correct skin color ea 20.0cm,N,N1,,
11950,,Tx contour defects 1 cc/<,Y,P3,,$48.10 
11951,,Tx contour defects 1.1-5.0cc,Y,P3,,$61.25 
11952,,Tx contour defects 5.1-10cc,Y,P3,,$77.86 
11954,,Tx contour defects >10.0 cc,Y,P3,,$86.17 
11960,,Insert tissue expander(s),Y,A2,36.5018,"$1,822.02 "
11970,,Rplcmt tiss xpndr perm implt,Y,J8,77.8556,"$3,886.24 "
11971,,Rmvl tis xpndr wo insj implt,N,A2,20.4143,"$1,019.00 "
11976,,Remove contraceptive capsule,N,P3,,$77.17 
11980,,Implant hormone pellet(s),N,N1,,
11981,,Insertion drug dlvr implant,N,N1,,
11982,,Remove drug implant device,N,N1,,
11983,,Remove/insert drug implant,N,N1,,
12001,,Rpr s/n/ax/gen/trnk 2.5cm/<,N,N1,,
12002,,Rpr s/n/ax/gen/trnk2.6-7.5cm,N,N1,,
12004,,Rpr s/n/ax/gen/trk7.6-12.5cm,N,N1,,
12005,,Rpr s/n/a/gen/trk12.6-20.0cm,N,A2,3.5830,$178.85 
12006,,Rpr s/n/a/gen/trk20.1-30.0cm,N,A2,3.5830,$178.85 
12007,,Rpr s/n/ax/gen/trnk >30.0 cm,Y,A2,1.8616,$92.92 
12011,,Rpr f/e/e/n/l/m 2.5 cm/<,N,N1,,
12013,,Rpr f/e/e/n/l/m 2.6-5.0 cm,N,N1,,
12014,,Rpr f/e/e/n/l/m 5.1-7.5 cm,N,N1,,
12015,,Rpr f/e/e/n/l/m 7.6-12.5 cm,N,G2,1.8616,$92.92 
12016,,Rpr fe/e/en/l/m 12.6-20.0 cm,N,A2,3.5830,$178.85 
12017,,Rpr fe/e/en/l/m 20.1-30.0 cm,N,A2,3.5830,$178.85 
12018,,Rpr f/e/e/n/l/m >30.0 cm,N,A2,1.8616,$92.92 
12020,,Closure of split wound,Y,A2,5.4291,$271.00 
12021,,Closure of split wound,Y,A2,3.5830,$178.85 
12031,,Intmd rpr s/a/t/ext 2.5 cm/<,Y,P2,3.5830,$178.85 
12032,,Intmd rpr s/a/t/ext 2.6-7.5,Y,P2,3.5830,$178.85 
12034,,Intmd rpr s/tr/ext 7.6-12.5,Y,A2,3.5830,$178.85 
12035,,Intmd rpr s/a/t/ext 12.6-20,Y,A2,3.5830,$178.85 
12036,,Intmd rpr s/a/t/ext 20.1-30,Y,A2,5.4291,$271.00 
12037,,Intmd rpr s/tr/ext >30.0 cm,Y,A2,17.7550,$886.26 
12041,,Intmd rpr n-hf/genit 2.5cm/<,N,P2,3.5830,$178.85 
12042,,Intmd rpr n-hf/genit2.6-7.5,Y,P2,3.5830,$178.85 
12044,,Intmd rpr n-hf/genit7.6-12.5,Y,A2,5.4291,$271.00 
12045,,Intmd rpr n-hf/genit12.6-20,Y,A2,5.4291,$271.00 
12046,,Intmd rpr n-hf/genit20.1-30,Y,A2,5.4291,$271.00 
12047,,Intmd rpr n-hf/genit >30.0cm,Y,A2,17.7550,$886.26 
12051,,Intmd rpr face/mm 2.5 cm/<,Y,P2,3.5830,$178.85 
12052,,Intmd rpr face/mm 2.6-5.0 cm,Y,P2,3.5830,$178.85 
12053,,Intmd rpr face/mm 5.1-7.5 cm,Y,P2,3.5830,$178.85 
12054,,Intmd rpr face/mm 7.6-12.5cm,N,A2,3.5830,$178.85 
12055,,Intmd rpr face/mm 12.6-20 cm,Y,A2,3.5830,$178.85 
12056,,Intmd rpr face/mm 20.1-30.0,N,A2,3.5830,$178.85 
12057,,Intmd rpr face/mm >30.0 cm,Y,A2,3.5830,$178.85 
13100,,Cmplx rpr trunk 1.1-2.5 cm,Y,A2,5.4291,$271.00 
13101,,Cmplx rpr trunk 2.6-7.5 cm,Y,A2,5.4291,$271.00 
13102,,Cmplx rpr trunk addl 5cm/<,N,N1,,
13120,,Cmplx rpr s/a/l 1.1-2.5 cm,Y,A2,5.4291,$271.00 
13121,,Cmplx rpr s/a/l 2.6-7.5 cm,Y,A2,5.4291,$271.00 
13122,,Cmplx rpr s/a/l addl 5 cm/>,N,N1,,
13131,,Cmplx rpr f/c/c/m/n/ax/g/h/f,Y,A2,3.5830,$178.85 
13132,,Cmplx rpr f/c/c/m/n/ax/g/h/f,Y,A2,5.4291,$271.00 
13133,,Cmplx rpr f/c/c/m/n/ax/g/h/f,N,N1,,
13151,,Cmplx rpr e/n/e/l 1.1-2.5 cm,Y,A2,5.4291,$271.00 
13152,,Cmplx rpr e/n/e/l 2.6-7.5 cm,Y,A2,5.4291,$271.00 
13153,,Cmplx rpr e/n/e/l addl 5cm/<,N,N1,,
13160,,Late closure of wound,Y,A2,17.7550,$886.26 
14000,,Tis trnfr trunk 10 sq cm/<,Y,A2,17.7550,$886.26 
14001,,Tis trnfr trunk 10.1-30sqcm,Y,A2,17.7550,$886.26 
14020,,Tis trnfr s/a/l 10 sq cm/<,Y,A2,17.7550,$886.26 
14021,,Tis trnfr s/a/l 10.1-30 sqcm,Y,A2,17.7550,$886.26 
14040,,Tis trnfr f/c/c/m/n/a/g/h/f,Y,A2,17.7550,$886.26 
14041,,Tis trnfr f/c/c/m/n/a/g/h/f,Y,A2,17.7550,$886.26 
14060,,Tis trnfr e/n/e/l 10 sq cm/<,Y,A2,17.7550,$886.26 
14061,,Tis trnfr e/n/e/l10.1-30sqcm,Y,A2,17.7550,$886.26 
14301,,Tis trnfr any 30.1-60 sq cm,Y,G2,36.5018,"$1,822.02 "
14302,,Tis trnfr addl 30 sq cm,N,N1,,
14350,,Filleted finger/toe flap,Y,A2,17.7550,$886.26 
15002,,Wound prep trk/arm/leg,Y,A2,17.7550,$886.26 
15003,,Wound prep addl 100 cm,N,N1,,
15004,,Wound prep f/n/hf/g,Y,A2,5.4291,$271.00 
15005,,Wnd prep f/n/hf/g addl cm,N,N1,,
15040,,Harvest cultured skin graft,Y,A2,17.7550,$886.26 
15050,,Skin pinch graft,Y,A2,5.4291,$271.00 
15100,,Skin splt grft trnk/arm/leg,Y,A2,17.7550,$886.26 
15101,,Skin splt grft t/a/l add-on,N,N1,,
15110,,Epidrm autogrft trnk/arm/leg,Y,A2,17.7550,$886.26 
15111,,Epidrm autogrft t/a/l add-on,N,N1,,
15115,,Epidrm a-grft face/nck/hf/g,Y,A2,17.7550,$886.26 
15116,,Epidrm a-grft f/n/hf/g addl,N,N1,,
15120,,Skn splt a-grft fac/nck/hf/g,Y,A2,36.5018,"$1,822.02 "
15121,,Skn splt a-grft f/n/hf/g add,N,N1,,
15130,,Derm autograft trnk/arm/leg,Y,A2,17.7550,$886.26 
15131,,Derm autograft t/a/l add-on,N,N1,,
15135,,Derm autograft face/nck/hf/g,Y,A2,36.5018,"$1,822.02 "
15136,,Derm autograft f/n/hf/g add,N,N1,,
15150,,Cult skin grft t/arm/leg,Y,A2,17.7550,$886.26 
15151,,Cult skin grft t/a/l addl,N,N1,,
15152,,Cult skin graft t/a/l +%,N,N1,,
15155,,Cult skin graft f/n/hf/g,Y,A2,36.5018,"$1,822.02 "
15156,,Cult skin grft f/n/hfg add,N,N1,,
15157,,Cult epiderm grft f/n/hfg +%,N,N1,,
15200,,Skin full graft trunk,Y,A2,17.7550,$886.26 
15201,,Skin full graft trunk add-on,N,N1,,
15220,,Skin full graft sclp/arm/leg,Y,A2,17.7550,$886.26 
15221,,Skin full graft add-on,N,N1,,
15240,,Skin full grft face/genit/hf,Y,A2,17.7550,$886.26 
15241,,Skin full graft add-on,N,N1,,
15260,,Skin full graft een & lips,Y,A2,17.7550,$886.26 
15261,,Skin full graft add-on,N,N1,,
15271,,Skin sub graft trnk/arm/leg,Y,G2,17.7550,$886.26 
15272,,Skin sub graft t/a/l add-on,N,N1,,
15273,,Skin sub grft t/arm/lg child,Y,G2,36.5018,"$1,822.02 "
15274,,Skn sub grft t/a/l child add,N,N1,,
15275,,Skin sub graft face/nk/hf/g,Y,G2,17.7550,$886.26 
15276,,Skin sub graft f/n/hf/g addl,N,N1,,
15277,,Skn sub grft f/n/hf/g child,Y,G2,17.7550,$886.26 
