"Addendum FF -- ASC Device Offset Percentages for CY 2026 
(For Covered Surgical Procedures and Surgical Procedures for Which Payment is Packaged)",,,,,,,,
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved. ,,,,,,,,
0439T,,Myocrd contrast prfuj echo,N1,,,,,
0440T,,Abltj perc uxtr/perph nrv,J8,5431,0.92%,"$1,765.76",64.49%,"$1,138.74"
0441T,,Abltj perc lxtr/perph nrv,J8,5431,0.92%,"$1,765.76",63.33%,"$1,118.26"
0442T,,Abltj perc plex/trncl nrv,J8,5433,36.81%,"$7,754.67",60.95%,"$4,726.47"
0443T,,R-t spctrl alys prst8 tiss,N1,,,,,
0444T,,1st plmt drug elut oc ins,N1,,,,,
0445T,,Sbsqt plmt drug elut oc ins,N1,,,,,
0446T,,Insj impltbl glucose sensor,P2,1563,,"$4,250.50",0.00%,$0.00
0447T,,Rmvl impltbl glucose sensor,P3,5051,0.00%,$205.18,0.00%,$0.00
0448T,,Remvl insj impltbl gluc sens,P2,1563,,"$4,250.50",0.00%,$0.00
0449T,,Insj aqueous drain dev 1st,J8,5493,35.40%,"$5,187.30",51.97%,"$2,695.84"
0450T,,Insj aqueous drain dev each,N1,,,,,
0479T,,Fxjl abl lsr 1st 100 sq cm,G2,5053,0.03%,$753.71,0.00%,$0.00
0480T,,Fxjl abl lsr ea addl 100sqcm,N1,,,,,
0505T,,Ev fempop artl revsc,J8,5193,43.25%,"$10,087.35",68.04%,"$6,863.43"
0510T,,Rmvl sinus tarsi implant,G2,5113,4.75%,"$3,061.63",0.00%,$0.00
0511T,,Rmvl&rinsj sinus tarsi implt,J8,5114,20.74%,"$6,878.60",39.64%,"$2,726.68"
0512T,,Esw integ wnd hlg 1st wnd,R2,5051,0.00%,$205.18,0.00%,$0.00
0513T,,Esw integ wnd hlg ea addl,N1,,,,,
0515T,,Insj wcs lv compl sys,J8,5231,66.53%,"$22,428.13",66.53%,"$14,921.43"
0516T,,Insj wcs lv eltrd only,J8,5223,53.45%,"$9,663.96",53.45%,"$5,165.39"
0517T,,Insj wcs lv both compnt pg,J8,5223,53.45%,"$9,663.96",53.45%,"$5,165.39"
0518T,,Rmvl pg wcs lv battery only,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0519T,,Rmv&rplcmt pg wcs lv both,G2,5223,53.45%,"$9,663.96",10.74%,$557.62
0520T,,Rmv&rplcmt pg wcs lv battery,J8,5223,53.45%,"$9,663.96",60.26%,"$5,823.50"
0523T,,Ntrapx c ffr w/3d funcjl map,N1,,,,,
0524T,,Ev cath dir chem abltj w/img,J8,5183,18.40%,"$3,022.22",39.14%,"$1,182.90"
0525T,,Insj/rplcmt compl iims,J8,5224,63.47%,"$16,679.77",77.19%,"$12,875.11"
0526T,,Insj/rplcmt iims eltrd only,J8,5222,68.94%,"$8,344.84",68.94%,"$5,752.93"
0527T,,Insj/rplcmt iims implt mntr,J8,5222,68.94%,"$8,344.84",86.67%,"$7,232.47"
0530T,,Removal complete iims,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0531T,,Removal iims electrode only,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0532T,,Removal iims implt mntr only,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0581T,,Abltj mal brst tum perq crtx,J8,5091,1.54%,"$2,984.05",53.02%,"$1,582.14"
0582T,,Trurl abltj mal prst8 tiss,J8,5377,66.05%,"$12,923.04",66.05%,"$8,535.67"
0583T,,Tmpst auto tube dlvr sys,J8,5163,1.11%,"$1,226.94",31.00%,$380.35
0587T,,Perq impltj/rplcmt isdns ptn,J8,5462,54.22%,"$6,760.71",84.61%,"$5,720.24"
0588T, *,Revision/removal isdns ptn,R2,5461,18.40%,"$3,729.01",0.00%,$0.00
0594T,,Osteot hum xtrnl lngth dev,J8,5114,20.74%,"$6,878.60",31.00%,"$2,132.37"
0596T,,Temp fml iu vlv-pmp 1st insj,P2,5372,0.26%,$578.18,0.00%,$0.00
0597T,,Temp fml iu valve-pmp rplcmt,P2,5372,0.26%,$578.18,0.00%,$0.00
0600T,,Ablt ire 1+ o/t lv/prst8 prq,J8,5362,17.34%,"$9,530.94",56.44%,"$5,379.26"
0601T,,Abltj ire 1+tumors open,J8,5362,17.34%,"$9,530.94",54.73%,"$5,216.28"
0614T,,Rmvl&rplcmt ss impl dfb pg,J8,5231,66.53%,"$22,428.13",85.04%,"$19,072.88"
0620T,,Evasc ven artlz tibl/prnl vn,J8,1580,,"$45,000.50",74.16%,"$33,372.37"
0621T,,Trabeculostomy interno laser,J8,5492,4.60%,"$4,102.13",76.11%,"$3,122.13"
0627T,,Perq njx algc fluor lmbr 1st,J8,5115,45.89%,"$12,665.27",86.14%,"$10,909.86"
0628T,,Perq njx algc fluor lmbr ea,N1,,,,,
0629T,,Perq njx algc ct lmbr 1st,J8,5115,45.89%,"$12,665.27",95.58%,"$12,105.47"
0630T,,Perq njx algc ct lmbr ea,N1,,,,,
0632T,,Perq tcat us abltj nrv p-art,J8,5194,57.44%,"$15,991.46",57.44%,"$9,185.49"
0644T,,Tcat rmvl/dblk icar mas perq,J8,5192,30.26%,"$5,076.40",80.51%,"$4,087.01"
0645T,,Tcat impltj c sins rdctj dev,G2,5194,57.44%,"$15,991.46",10.86%,$933.03
0647T,,Insj gtube perq mag gastrpxy,G2,5302,12.56%,"$1,664.65",3.75%,$33.54
0651T,,Mag ctrld capsule endoscopy,J8,5301,3.02%,$926.66,44.91%,$416.16
0652T,,Egd flx transnasal dx br/wa,G2,5302,12.56%,"$1,664.65",3.30%,$29.51
0653T,,Egd flx transnasal bx 1/mlt,G2,5302,12.56%,"$1,664.65",0.00%,$0.00
0654T,,Egd flx transnasal tube/cath,G2,5303,21.17%,"$3,697.62",7.85%,$155.94
0655T,,Tprnl focal abltj mal prst8,G2,5375,12.48%,"$5,080.80",29.13%,$795.15
0656T,,Ant lmbr vrt bdy teth <7 seg,J8,5116,58.67%,"$17,228.14",58.67%,"$10,107.75"
0657T,,Ant lmbr vrt bdy teth 8+ seg,J8,5116,58.67%,"$17,228.14",58.67%,"$10,107.75"
0660T,,Implt ant sgm io nbio rx sys,G2,5492,4.60%,"$4,102.13",0.00%,$0.00
0661T,,Rmvl&rimpltj ant sgm implt,G2,5492,4.60%,"$4,102.13",0.00%,$0.00
0671T,,Insj ant sgm aq drg dev 1+,J8,5493,35.40%,"$5,187.30",66.66%,"$3,457.85"
0673T,,Abltj b9 thyr ndul perq lasr,G2,5072,8.66%,"$1,381.18",5.44%,$40.37
0674T,,Laps insj nw/rpcmt prm isdss,J8,5465,84.39%,"$29,708.82",84.39%,"$25,071.27"
0675T,,Laps insj nw/rpcmt isdss 1ld,J8,5463,16.04%,"$10,984.52",31.00%,"$3,405.20"
0676T,,Laps insj nw/rpcmt isdss ea,N1,,,,,
0677T,,Laps repos lead isdss 1st ld,J8,5362,17.34%,"$9,530.94",31.00%,"$2,954.59"
0678T,,Laps repos lead isdss ea add,N1,,,,,
0679T,,Laps rmvl lead isdss,G2,5362,17.34%,"$9,530.94",0.00%,$0.00
0680T,,Insj/rplcmt pg only isdss,J8,5464,82.09%,"$17,646.76",82.09%,"$14,486.23"
0681T,,Rlcj pulse gen only isdss,G2,5461,18.40%,"$3,729.01",0.00%,$0.00
0682T,,Removal pulse gen only isdss,G2,5461,18.40%,"$3,729.01",0.00%,$0.00
0686T,,Histotripsy mal hepatcel tis,G2,1576,,"$17,500.50",0.00%,$0.00
0692T,,Therapeutic ultrafiltration,G2,5242,0.03%,"$1,590.99",0.00%,$0.00
0699T,,Njx pst chmbr eye medication,G2,5491,9.12%,"$2,337.32",0.00%,$0.00
0707T,,Njx b1 sub mtrl sbchdrl dfct,J8,5113,4.75%,"$3,061.63",51.96%,"$1,590.82"
0714T,,Tpla b9 prst8 hyprplsa<50ml,J8,5375,12.48%,"$5,080.80",30.76%,"$1,562.85"
0717T,,Adrc ther prtl rc tear,G2,5055,1.00%,"$3,612.43",0.00%,$0.00
0718T,,Adrc ther prtl rc tear njx,G2,5055,1.00%,"$3,612.43",0.00%,$0.00
0737T,,Xenograft impltj artclr surf,J8,5115,45.89%,"$12,665.27",45.89%,"$5,812.09"
0744T,,Insj bioprostc vlv fem vn,G2,5184,14.66%,"$5,932.75",0.00%,$0.00
0784T,,Ins/rplmt eltrd ra spi nstim,J8,5463,16.04%,"$10,984.52",69.26%,"$7,607.88"
0785T,,Revj/rmvl nea spi w/nstim,G2,5461,18.40%,"$3,729.01",11.41%,$228.59
0786T,,Insj/rplcmt prq ra sac nstim,J8,5463,16.04%,"$10,984.52",67.09%,"$7,369.51"
0787T,,Revj/rmvl nea sac w/nstim,G2,5461,18.40%,"$3,729.01",0.00%,$0.00
0790T,,Revj rplcmt/rmvl vrt tethrg,J8,5116,58.67%,"$17,228.14",58.67%,"$10,107.75"
0793T,,Prq tcat thrm ablt nrv p-art,J8,5194,57.44%,"$15,991.46",57.44%,"$9,185.49"
0797T,,Tcat ins 2chmbr ldls pm rv,J8,5224,63.47%,"$16,679.77",76.49%,"$12,758.36"
0800T,,Tcat rmvl 2chmbr ldls pm rv,J8,5183,18.40%,"$3,022.22",31.00%,$936.89
0803T,,Tcat rmv&rpl2chmb ldls pm rv,J8,5224,63.47%,"$16,679.77",81.85%,"$13,652.39"
0810T,,Subrta njx rx agt w/vtrc,G2,1563,,"$4,250.50",0.00%,$0.00
0813T,,Egd vol adjmt bariatric balo,G2,5301,3.02%,$926.66,0.00%,$0.00
0816T,,Opn insj/rplcmt ins ptn subq,J8,5464,82.09%,"$17,646.76",90.10%,"$15,899.73"
0817T,,Opn insj/rplcmt ins ptn subf,J8,5464,82.09%,"$17,646.76",88.75%,"$15,661.50"
0818T,,Revj/rmvl ins ptn subq,G2,5461,18.40%,"$3,729.01",0.00%,$0.00
0819T,,Revj/rmvl ins ptn subf,G2,5461,18.40%,"$3,729.01",0.00%,$0.00
0861T,,Rmvl pg wcs lv both compnt,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0862T,,Rlcj pg wcs lv battery only,G2,5054,0.73%,"$2,100.65",0.00%,$0.00
0863T,,Rlcj pg wcs lv trnsmtr only,G2,5054,0.73%,"$2,100.65",0.00%,$0.00
0864T,,Low ntsty eswt corpus cvrnsm,R2,5371,2.30%,$256.47,0.00%,$0.00
0867T,,Tpla b9 prst8 hyprplsa>=50ml,G2,5375,12.48%,"$5,080.80",0.00%,$0.00
0869T,,Njx b1 sub mtrl hw fixj aug,J8,5113,4.75%,"$3,061.63",31.00%,$949.11
0870T,,Imp subq prtl ascts pmp sys ,J8,1579,,"$35,000.50",31.00%,"$10,850.16"
0871T,,Rplcmt subq prtl ascites pmp ,J8,1578,,"$27,500.50",31.00%,"$8,525.16"
0872T,, Rplcmt ndwllg bldr&prtl cath ,J8,5341,10.36%,"$3,246.58",31.00%,"$1,006.44"
0873T,,Revj subq prtl asct pmp sys ,G2,5341,10.36%,"$3,246.58",0.00%,$0.00
0874T,,Rmvl pertl ascites pmp sys ,G2,5341,10.36%,"$3,246.58",0.00%,$0.00
0875T,,Prgrm subq prtl asct pmp sys ,N1,,,,,
0884T,,Esphgsc flx 1st tndsc dilat,J8,5331,43.15%,"$5,247.97",43.15%,"$2,264.50"
0885T,,Colsc flx 1st tndsc dilat,J8,5331,43.15%,"$5,247.97",43.15%,"$2,264.50"
0886T,,Sgmdsc flx 1st tndsc dilat,J8,5331,43.15%,"$5,247.97",43.15%,"$2,264.50"
0888T,,Histotripsy mal renal tissue,G2,1576,,"$17,500.50",0.00%,$0.00
0908T,,Opn imp int nstm sys vgs nrv,J8,5465,84.39%,"$29,708.82",84.39%,"$25,071.27"
0909T,,Rplcmt int nstim sys vgs nrv,J8,5465,84.39%,"$29,708.82",84.39%,"$25,071.27"
0910T,,Rmvl int nstim sys vagus nrv,G2,5461,18.40%,"$3,729.01",0.00%,$0.00
0913T,,Prq tcat ther rx ntrac balo1,J8,5193,43.25%,"$10,087.35",43.25%,"$4,362.78"
0914T,,Prq tcat thr rx ntrc bal sep,N1,,,,,
0915T,,Insj perm ccm-d sys pg&eltrd,J8,5232,70.46%,"$28,856.49",70.46%,"$20,332.28"
0916T,,Insj perm ccm-d sys pg only,J8,5231,66.53%,"$22,428.13",66.53%,"$14,921.43"
0917T,,Insj perm ccm-d sys 1 lead,J8,5222,68.94%,"$8,344.84",68.94%,"$5,752.93"
0918T,,Insj perm ccm-d sys dual ld,J8,5222,68.94%,"$8,344.84",68.94%,"$5,752.93"
0919T,,Rmvl perm ccm-d sys pg only,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0920T,,Rmvl perm ccm-d sys 1 pac ld,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0921T,,Rmvl perm ccm-d sys 1 dfb ld,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0922T,,Rmvl perm ccm-d sys dual ld,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0923T,,Rmvl&rplcmt perm ccm-d pg,J8,5231,66.53%,"$22,428.13",66.53%,"$14,921.43"
0924T,,Rpos prv ccm-d trnsvns eltrd,G2,5181,3.26%,$641.39,0.00%,$0.00
0925T,,Rlcj skin pocket ccm-d pg,G2,5054,0.73%,"$2,100.65",0.00%,$0.00
0933T,,Tcat impl wrls l atr prs snr,J8,5191,13.74%,"$3,178.69",31.00%,$985.39
0950T,,Abltj b9 prst8 tissue hifu,J8,5376,53.72%,"$9,298.83",53.72%,"$4,995.33"
0956T,,Prt crn ch cr&tun elt s-sclp,J8,5117,55.04%,"$26,438.70",55.04%,"$14,551.86"
0957T,,Rev s-sclp eltr ra rcvr&tlmt,G2,5112,0.20%,"$1,624.70",0.00%,$0.00
0958T,,Rmv s-sclp eltr ra rcvr&tlmt,G2,5113,4.75%,"$3,061.63",0.00%,$0.00
0959T,,Rmv/rplc magnet coil assem,G2,5072,8.66%,"$1,381.18",0.00%,$0.00
0960T,,Rpl s-sclp eltr ra rcvr&tlmt,J8,5117,55.04%,"$26,438.70",55.04%,"$14,551.86"
0962T,,Asstv alg alys acous&ecg rec,G2,5734,0.07%,$136.88,0.00%,$0.00
0963T,,Anosc sbmcsl njx bulking agt,J8,5312,0.64%,"$1,222.44",31.00%,$378.96
0964T,,I&cust prep jaw xpnsj 1arch,G2,5164,0.52%,"$2,755.71",0.00%,$0.00
0965T,,I&cst prp jw xpn dl arch non,G2,5164,0.52%,"$2,755.71",0.00%,$0.00
0966T,,I&cst prp jw xpn dl arch fxd,G2,5164,0.52%,"$2,755.71",0.00%,$0.00
0967T,,Tranal ins tmp clrc anst dev,J8,5312,0.64%,"$1,222.44",31.00%,$378.96
0970T,,Ablt b9 brst tum perq lsr ea,J8,5091,1.54%,"$2,984.05",31.00%,$925.06
0971T,,Ablt mal brst tum pq lsr uni,J8,5091,1.54%,"$2,984.05",31.00%,$925.06
0973T,,Slctv nzmtc dbrdmt t/a/l 1st,G2,5052,0.04%,$415.10,0.00%,$0.00
0975T,,Slctv nzmtc dbrdmt s/n/hf 1,G2,5052,0.04%,$415.10,0.00%,$0.00
0977T,,Upr gi bld detcj snr capsule,G2,5301,3.02%,$926.66,0.00%,$0.00
0981T,,Tcat impl wrls ivc snr,J8,5194,57.44%,"$15,991.46",57.44%,"$9,185.49"
0989T,,Revj/rmvl ins ptn subq&subf,G2,5461,18.40%,"$3,729.01",0.00%,$0.00
0991T,,Cysto lo-nrg lithtrp&mcrsphr,J8,5376,53.72%,"$9,298.83",53.72%,"$4,995.33"
0996T,,Ins&sclr fix caps bag prosth,G2,5491,9.12%,"$2,337.32",0.00%,$0.00
10004,,Fna bx w/o img gdn ea addl,N1,,,,,
10005,,Fna bx w/us gdn 1st les,G2,5071,9.93%,$723.23,0.14%,$0.54
10006,,Fna bx w/us gdn ea addl,N1,,,,,
10007,,Fna bx w/fluor gdn 1st les,P3,5071,9.93%,$723.23,0.00%,$0.00
10008,,Fna bx w/fluor gdn ea addl,N1,,,,,
10009,,Fna bx w/ct gdn 1st les,G2,5071,9.93%,$723.23,1.47%,$5.71
10010,,Fna bx w/ct gdn ea addl,N1,,,,,
10011,,Fna bx w/mr gdn 1st les,R2,5071,9.93%,$723.23,5.36%,$20.83
10012,,Fna bx w/mr gdn ea addl,N1,,,,,
10021,,Fna bx w/o img gdn 1st les,P3,5052,0.04%,$415.10,0.04%,$0.03
10030,,Img gid flu coll drg sft tis,G2,5071,9.93%,$723.23,15.65%,$60.81
10035,,Plmt sft tiss loclzj dev 1st,N1,,,,,
10036,,Plmt sft tiss loclzj dev ea,N1,,,,,
1003T,,Arthrp 1st crp/mtcrpl prostc,J8,5115,45.89%,"$12,665.27",45.89%,"$5,812.09"
10040,,Extraction,N1,,,,,
10060,,I&d abscess simple/single,P3,5051,0.00%,$205.18,0.04%,$0.03
10061,,I&d abscess comp/multiple,P3,5052,0.04%,$415.10,0.08%,$0.10
10080,,I&d pilonidal cyst simple,P3,5071,9.93%,$723.23,0.00%,$0.00
10081,,I&d pilonidal cyst comp,P3,5071,9.93%,$723.23,0.00%,$0.00
10120,,Inc&rmvl fb subq tiss smpl,P3,5052,0.04%,$415.10,0.08%,$0.09
10121,,Inc&rmvl fb subq tiss comp,A2,5072,8.66%,"$1,381.18",0.08%,$0.59
1012T,,Mtrz ab ntrno trph scl/tr mw,J8,5492,4.60%,"$4,102.13",31.00%,"$1,271.66"
1013T,,Lap srg imp/rpl eso nea&pg/r,J8,5464,82.09%,"$17,646.76",82.09%,"$14,486.23"
10140,,I&d hmtma seroma/fluid collj,P3,5072,8.66%,"$1,381.18",0.89%,$1.04
1014T,,Lap rv/rmv eso sph nstm eltr,G2,5463,16.04%,"$10,984.52",0.00%,$0.00
1015T,,Rev/rmv lw esoph sphnc npg/r,G2,5461,18.40%,"$3,729.01",0.00%,$0.00
10160,,Pnxr aspir absc hmtma bulla,P3,5052,0.04%,$415.10,3.16%,$2.72
10180,,I&d complex po wound infctj,A2,5073,1.54%,"$2,323.60",0.77%,$9.61
1019T,,Lymphovenous bypass per xtr,G2,5092,2.07%,"$5,301.43",0.00%,$0.00
1022T,,Prq tis dsplmt ntra-abdl/pel,N1,,,,,
1023T,,Prq tis dsplmt intrathoracic,N1,,,,,
1024T,,Perq tiss dsplmt soft tissue,N1,,,,,
11000,,Dbrdmt ecz/infected skin<10%,P3,5052,0.04%,$415.10,0.08%,$0.03
11001,,Dbrdmt ecz/infct skn ea addl,N1,,,,,
11010,,Debride skin at fx site,A2,5071,9.93%,$723.23,2.13%,$8.28
11011,,Debride skin musc at fx site,A2,5071,9.93%,$723.23,0.11%,$0.43
11012,,Deb skin bone at fx site,A2,5073,1.54%,"$2,323.60",2.19%,$27.34
11042,,Dbrdmt subq tis 1st 20sqcm/<,A2,5052,0.04%,$415.10,0.01%,$0.02
11043,,Dbrdmt musc&/fsca 1st 20/<,A2,5053,0.03%,$753.71,0.05%,$0.20
11044,,Dbrdmt bone 1st 20 sq cm/<,A2,5072,8.66%,"$1,381.18",0.23%,$1.71
11045,,Dbrdmt subq tiss each addl,N1,,,,,
11046,,Dbrdmt musc&/fsca ea addl,N1,,,,,
11047,,Dbrdmt bone each addl,N1,,,,,
11055,,Paring/cutg b9 hyprker les 1,N1,,,,,
11056,,Parng/cutg b9 hyprkr les 2-4,N1,,,,,
11057,,Parng/cutg b9 hyprkr les >4,P3,5051,0.00%,$205.18,0.00%,$0.00
11102,,Tangntl bx skin single les,P3,5052,0.04%,$415.10,0.00%,$0.00
11103,,Tangntl bx skin ea sep/addl,N1,,,,,
11104,,Punch bx skin single lesion,P3,5052,0.04%,$415.10,0.04%,$0.04
11105,,Punch bx skin ea sep/addl,N1,,,,,
11106,,Incal bx skn single les,P3,5053,0.03%,$753.71,0.03%,$0.03
11107,,Incal bx skn ea sep/addl,N1,,,,,
11200,,Rmvl skin tags up to&inc 15,N1,,,,,
11201,,Rmvl skin tags ea addl 10,N1,,,,,
11300,,Shave skin lesion 0.5 cm/<,N1,,,,,
11301,,Shave skin lesion 0.6-1.0 cm,N1,,,,,
11302,,Shave skin lesion 1.1-2.0 cm,N1,,,,,
11303,,Shave skin lesion >2.0 cm,N1,,,,,
11305,,Shave skin lesion 0.5 cm/<,N1,,,,,
11306,,Shave skin lesion 0.6-1.0 cm,N1,,,,,
11307,,Shave skin lesion 1.1-2.0 cm,P3,5051,0.00%,$205.18,0.00%,$0.00
11308,,Shave skin lesion >2.0 cm,N1,,,,,
11310,,Shave skin lesion 0.5 cm/<,P3,5051,0.00%,$205.18,0.00%,$0.00
11311,,Shave skin lesion 0.6-1.0 cm,P3,5051,0.00%,$205.18,0.00%,$0.00
11312,,Shave skin lesion 1.1-2.0 cm,P3,5052,0.04%,$415.10,0.00%,$0.00
11313,,Shave skin lesion >2.0 cm,P3,5052,0.04%,$415.10,0.00%,$0.00
11400,,Exc tr-ext b9+marg 0.5 cm<,P3,5071,9.93%,$723.23,0.20%,$0.19
11401,,Exc tr-ext b9+marg 0.6-1 cm,P3,5052,0.04%,$415.10,0.01%,$0.01
11402,,Exc tr-ext b9+marg 1.1-2 cm,P3,5071,9.93%,$723.23,0.00%,$0.00
11403,,Exc tr-ext b9+marg 2.1-3cm,P3,5071,9.93%,$723.23,0.03%,$0.04
11404,,Exc tr-ext b9+marg 3.1-4 cm,A2,5072,8.66%,"$1,381.18",0.26%,$1.93
11406,,Exc tr-ext b9+marg >4.0 cm,A2,5072,8.66%,"$1,381.18",0.03%,$0.22
11420,,Exc h-f-nk-sp b9+marg 0.5/<,P3,5072,8.66%,"$1,381.18",0.25%,$0.22
11421,,Exc h-f-nk-sp b9+marg 0.6-1,P3,5071,9.93%,$723.23,0.03%,$0.03
11422,,Exc h-f-nk-sp b9+marg 1.1-2,P3,5072,8.66%,"$1,381.18",0.38%,$0.45
11423,,Exc h-f-nk-sp b9+marg 2.1-3,P3,5072,8.66%,"$1,381.18",0.00%,$0.00
11424,,Exc h-f-nk-sp b9+marg 3.1-4,A2,5072,8.66%,"$1,381.18",0.01%,$0.07
11426,,Exc h-f-nk-sp b9+marg >4 cm,A2,5073,1.54%,"$2,323.60",0.06%,$0.75
11440,,Exc face-mm b9+marg 0.5 cm/<,P3,5071,9.93%,$723.23,0.16%,$0.17
11441,,Exc face-mm b9+marg 0.6-1 cm,P3,5071,9.93%,$723.23,0.05%,$0.06
11442,,Exc face-mm b9+marg 1.1-2 cm,P3,5071,9.93%,$723.23,0.10%,$0.13
