Addendum AA -- ASC Covered Surgical Procedures for CY 2024                                                                                                                                (Including Surgical Procedures for Which Payment is Packaged)							
CPT codes and descriptions only are copyright 2023 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2023 American Dental Association.  All Rights Reserved.							
							
HCPCS Code		Short Descriptor	Subject to Multiple Procedure Discounting	January 2024  Payment Indicator	January 2024  Payment Weight  	January 2024 Payment Rate 	
10121		Inc&rmvl fb subq tiss comp	Y	A2	12.7612	$682.90	
10140		I&d hmtma seroma/fluid collj	Y	P3		$109.04	
10160		Pnxr aspir absc hmtma bulla	Y	P3		$81.86	
10180		I&d complex po wound infctj	Y	A2	21.6231	"$1,157.14"	
11000		Dbrdmt ecz/infected skin<10%	Y	P3		$37.00	
11001		Dbrdmt ecz/infct skn ea addl	N	N1			
11010		Debride skin at fx site	Y	A2	6.8201	$364.97	
11011		Debride skin musc at fx site	Y	A2	6.8201	$364.97	
11012		Deb skin bone at fx site	Y	A2	21.6231	"$1,157.14"	
11042		Dbrdmt subq tis 1st 20sqcm/<	Y	A2	3.8652	$206.84	
11043		Dbrdmt musc&/fsca 1st 20/<	Y	A2	6.088	$325.79	
11044		Dbrdmt bone 1st 20 sq cm/<	Y	A2	12.7612	$682.90	
11045		Dbrdmt subq tiss each addl	N	N1			
11046		Dbrdmt musc&/fsca ea addl	N	N1			
11047		Dbrdmt bone each addl	N	N1			
11055		Paring/cutg b9 hyprker les 1	N	N1			
11056		Parng/cutg b9 hyprkr les 2-4	N	N1			
11057		Parng/cutg b9 hyprkr les >4	Y	P3		$65.82	
11102		Tangntl bx skin single les	Y	P3		$74.98	
11103		Tangntl bx skin ea sep/addl	N	N1			
11104		Punch bx skin single lesion	Y	P3		$92.67	
11105		Punch bx skin ea sep/addl	N	N1			
11106		Incal bx skn single les	Y	P3		$115.59	
11107		Incal bx skn ea sep/addl	N	N1			
11200		Rmvl skin tags up to&inc 15	N	N1			
11201		Rmvl skin tags ea addl 10	N	N1			
11300		Shave skin lesion 0.5 cm/<	N	N1			
11301		Shave skin lesion 0.6-1.0 cm	N	N1			
11302		Shave skin lesion 1.1-2.0 cm	N	N1			
11303		Shave skin lesion >2.0 cm	N	N1			
11305		Shave skin lesion 0.5 cm/<	N	N1			
11306		Shave skin lesion 0.6-1.0 cm	N	N1			
11307		Shave skin lesion 1.1-2.0 cm	Y	P3		$92.99	
11308		Shave skin lesion >2.0 cm	N	N1			
11310		Shave skin lesion 0.5 cm/<	Y	P3		$84.81	
11311		Shave skin lesion 0.6-1.0 cm	Y	P3		$94.63	
11312		Shave skin lesion 1.1-2.0 cm	Y	P3		$105.76	
11313		Shave skin lesion >2.0 cm	Y	P3		$116.90	
11400		Exc tr-ext b9+marg 0.5 cm<	Y	P3		$93.32	
11401		Exc tr-ext b9+marg 0.6-1 cm	Y	P3		$107.07	
11402		Exc tr-ext b9+marg 1.1-2 cm	Y	P3		$116.24	
11403		Exc tr-ext b9+marg 2.1-3cm	Y	P3		$126.72	
11404		Exc tr-ext b9+marg 3.1-4 cm	Y	A2	12.7612	$682.90	
11406		Exc tr-ext b9+marg >4.0 cm	Y	A2	12.7612	$682.90	
11420		Exc h-f-nk-sp b9+marg 0.5/<	Y	P3		$88.08	
11421		Exc h-f-nk-sp b9+marg 0.6-1	Y	P3		$104.13	
11422		Exc h-f-nk-sp b9+marg 1.1-2	Y	P3		$115.26	
11423		Exc h-f-nk-sp b9+marg 2.1-3	Y	P3		$126.72	
11424		Exc h-f-nk-sp b9+marg 3.1-4	Y	A2	12.7612	$682.90	
11426		Exc h-f-nk-sp b9+marg >4 cm	Y	A2	21.6231	"$1,157.14"	
11440		Exc face-mm b9+marg 0.5 cm/<	Y	P3		$103.80	
11441		Exc face-mm b9+marg 0.6-1 cm	Y	P3		$115.59	
11442		Exc face-mm b9+marg 1.1-2 cm	Y	P3		$125.41	
11443		Exc face-mm b9+marg 2.1-3 cm	Y	P3		$138.18	
11444		Exc face-mm b9+marg 3.1-4 cm	Y	A2	12.7612	$682.90	
11446		Exc face-mm b9+marg >4 cm	Y	A2	21.6231	"$1,157.14"	
11450		Exc skn hdrdnt ax smpl/ntrm	Y	A2	21.6231	"$1,157.14"	
11451		Exc skn hdrdnt ax complex	Y	A2	21.6231	"$1,157.14"	
11462		Exc skn hdrdnt ing smpl/ntrm	Y	A2	21.6231	"$1,157.14"	
11463		Exc skn hdrdnt ing complex	Y	A2	21.6231	"$1,157.14"	
11470		Exc skn h/p/p/u smpl/ntrm	Y	A2	21.6231	"$1,157.14"	
11471		Exc skn h/p/p/u complex	Y	A2	21.6231	"$1,157.14"	
11600		Exc tr-ext mal+marg 0.5 cm/<	Y	P3		$134.25	
11601		Exc tr-ext mal+marg 0.6-1 cm	Y	P3		$149.64	
11602		Exc tr-ext mal+marg 1.1-2 cm	Y	P3		$158.81	
11603		Exc tr-ext mal+marg 2.1-3 cm	Y	P3		$171.25	
11604		Exc tr-ext mal+marg 3.1-4 cm	Y	A2	6.8201	$364.97	
11606		Exc tr-ext mal+marg >4 cm	Y	A2	12.7612	$682.90	
11620		Exc h-f-nk-sp mal+marg 0.5/<	Y	P3		$134.58	
11621		Exc s/n/h/f/g mal+mrg 0.6-1	Y	P3		$149.64	
11622		Exc s/n/h/f/g mal+mrg 1.1-2	Y	P3		$161.43	
11623		Exc s/n/h/f/g mal+mrg 2.1-3	Y	P3		$176.82	
11624		Exc s/n/h/f/g mal+mrg 3.1-4	Y	A2	12.7612	$682.90	
11626		Exc s/n/h/f/g mal+mrg >4 cm	Y	A2	21.6231	"$1,157.14"	
11640		Exc f/e/e/n/l mal+mrg 0.5cm<	Y	P3		$139.16	
11641		Exc f/e/e/n/l mal+mrg 0.6-1	Y	P3		$153.90	
11642		Exc f/e/e/n/l mal+mrg 1.1-2	Y	P3		$167.65	
11643		Exc f/e/e/n/l mal+mrg 2.1-3	Y	P3		$183.37	
11644		Exc f/e/e/n/l mal+mrg 3.1-4	Y	A2	12.7612	$682.90	
11646		Exc f/e/e/n/l mal+mrg >4 cm	Y	A2	21.6231	"$1,157.14"	
11719		Trim nail(s) any number	N	N1			
11720		Debride nail 1-5	N	N1			
11721		Debride nail 6 or more	N	N1			
11730		Removal of nail plate	N	N1			
11732		Remove nail plate add-on	N	N1			
11740		Drain blood from under nail	N	N1			
11750		Removal of nail bed	Y	P3		$102.49	
11755		Biopsy nail unit	Y	P3		$75.97	
11760		Repair of nail bed	Y	P3		$122.46	
11762		Reconstruction of nail bed	Y	P3		$176.49	
11765		Excision of nail fold toe	N	N1			
11770		Remove pilonidal cyst simple	Y	A2	21.6231	"$1,157.14"	
11771		Remove pilonidal cyst exten	Y	A2	21.6231	"$1,157.14"	
11772		Remove pilonidal cyst compl	Y	A2	21.6231	"$1,157.14"	
11900		Inject skin lesions </w 7	N	N1			
11901		Inject skin lesions >7	N	N1			
11920		Correct skin color 6.0 cm/<	Y	P3		$135.23	
11921		Correct skn color 6.1-20.0cm	Y	P3		$143.75	
11922		Correct skin color ea 20.0cm	N	N1			
11950		Tx contour defects 1 cc/<	Y	P3		$47.81	
11951		Tx contour defects 1.1-5.0cc	Y	P3		$60.90	
11952		Tx contour defects 5.1-10cc	Y	P3		$77.60	
11954		Tx contour defects >10.0 cc	Y	P3		$85.79	
11960		Insert tissue expander(s)	Y	A2	34.7764	"$1,861.02"	
11970		Rplcmt tiss xpndr perm implt	Y	G2	63.4025	"$3,392.92"	
11971		Rmvl tis xpndr wo insj implt	N	A2	21.6231	"$1,157.14"	
11976		Remove contraceptive capsule	N	P3		$74.98	
11980		Implant hormone pellet(s)	N	N1			
11981		Insertion drug dlvr implant	N	N1			
11982		Remove drug implant device	N	N1			
11983		Remove/insert drug implant	N	N1			
12001		Rpr s/n/ax/gen/trnk 2.5cm/<	N	N1			
12002		Rpr s/n/ax/gen/trnk2.6-7.5cm	N	N1			
12004		Rpr s/n/ax/gen/trk7.6-12.5cm	N	N1			
12005		Rpr s/n/a/gen/trk12.6-20.0cm	N	A2	3.8652	$206.84	
12006		Rpr s/n/a/gen/trk20.1-30.0cm	N	A2	3.8652	$206.84	
12007		Rpr s/n/ax/gen/trnk >30.0 cm	Y	A2	1.9406	$103.85	
12011		Rpr f/e/e/n/l/m 2.5 cm/<	N	N1			
12013		Rpr f/e/e/n/l/m 2.6-5.0 cm	N	N1			
12014		Rpr f/e/e/n/l/m 5.1-7.5 cm	N	N1			
12015		Rpr f/e/e/n/l/m 7.6-12.5 cm	N	G2	1.9406	$103.85	
12016		Rpr fe/e/en/l/m 12.6-20.0 cm	N	A2	3.8652	$206.84	
12017		Rpr fe/e/en/l/m 20.1-30.0 cm	N	A2	3.8652	$206.84	
12018		Rpr f/e/e/n/l/m >30.0 cm	N	A2	1.9406	$103.85	
12020		Tx supfc wnd dehsn smpl clsr	Y	A2	6.088	$325.79	
12021		Tx supfc wnd dehsn w/packing	Y	A2	3.8652	$206.84	
12031		Intmd rpr s/a/t/ext 2.5 cm/<	Y	P3		$185.33	
12032		Intmd rpr s/a/t/ext 2.6-7.5	Y	P2	3.8652	$206.84	
12034		Intmd rpr s/tr/ext 7.6-12.5	Y	A2	3.8652	$206.84	
12035		Intmd rpr s/a/t/ext 12.6-20	Y	A2	3.8652	$206.84	
12036		Intmd rpr s/a/t/ext 20.1-30	Y	A2	6.088	$325.79	
12037		Intmd rpr s/tr/ext >30.0 cm	Y	A2	17.6771	$945.97	
12041		Intmd rpr n-hf/genit 2.5cm/<	N	P3		$182.39	
12042		Intmd rpr n-hf/genit2.6-7.5	Y	P3		$203.34	
12044		Intmd rpr n-hf/genit7.6-12.5	Y	A2	6.088	$325.79	
12045		Intmd rpr n-hf/genit12.6-20	Y	A2	6.088	$325.79	
12046		Intmd rpr n-hf/genit20.1-30	Y	A2	6.088	$325.79	
12047		Intmd rpr n-hf/genit >30.0cm	Y	A2	17.6771	$945.97	
12051		Intmd rpr face/mm 2.5 cm/<	Y	P3		$192.86	
12052		Intmd rpr face/mm 2.6-5.0 cm	Y	P3		$205.31	
12053		Intmd rpr face/mm 5.1-7.5 cm	Y	P2	3.8652	$206.84	
12054		Intmd rpr face/mm 7.6-12.5cm	N	A2	3.8652	$206.84	
12055		Intmd rpr face/mm 12.6-20 cm	Y	A2	3.8652	$206.84	
12056		Intmd rpr face/mm 20.1-30.0	N	A2	3.8652	$206.84	
12057		Intmd rpr face/mm >30.0 cm	Y	A2	3.8652	$206.84	
13100		Cmplx rpr trunk 1.1-2.5 cm	Y	A2	6.088	$325.79	
13101		Cmplx rpr trunk 2.6-7.5 cm	Y	A2	6.088	$325.79	
13102		Cmplx rpr trunk addl 5cm/<	N	N1			
13120		Cmplx rpr s/a/l 1.1-2.5 cm	Y	A2	6.088	$325.79	
13121		Cmplx rpr s/a/l 2.6-7.5 cm	Y	A2	6.088	$325.79	
13122		Cmplx rpr s/a/l addl 5 cm/>	N	N1			
13131		Cmplx rpr f/c/c/m/n/ax/g/h/f	Y	A2	3.8652	$206.84	
13132		Cmplx rpr f/c/c/m/n/ax/g/h/f	Y	A2	6.088	$325.79	
13133		Cmplx rpr f/c/c/m/n/ax/g/h/f	N	N1			
13151		Cmplx rpr e/n/e/l 1.1-2.5 cm	Y	A2	6.088	$325.79	
13152		Cmplx rpr e/n/e/l 2.6-7.5 cm	Y	A2	6.088	$325.79	
13153		Cmplx rpr e/n/e/l addl 5cm/<	N	N1			
13160		Sec clsr surg wnd/dehsn xtn	Y	A2	17.6771	$945.97	
14000		Tis trnfr trunk 10 sq cm/<	Y	A2	17.6771	$945.97	
14001		Tis trnfr trunk 10.1-30sqcm	Y	A2	17.6771	$945.97	
14020		Tis trnfr s/a/l 10 sq cm/<	Y	A2	17.6771	$945.97	
14021		Tis trnfr s/a/l 10.1-30 sqcm	Y	A2	17.6771	$945.97	
14040		Tis trnfr f/c/c/m/n/a/g/h/f	Y	A2	17.6771	$945.97	
14041		Tis trnfr f/c/c/m/n/a/g/h/f	Y	A2	17.6771	$945.97	
14060		Tis trnfr e/n/e/l 10 sq cm/<	Y	A2	17.6771	$945.97	
14061		Tis trnfr e/n/e/l10.1-30sqcm	Y	A2	17.6771	$945.97	
14301		Tis trnfr any 30.1-60 sq cm	Y	G2	34.7764	"$1,861.02"	
14302		Tis trnfr addl 30 sq cm	N	N1			
14350		Filleted finger/toe flap	Y	A2	17.6771	$945.97	
15002		Wound prep trk/arm/leg	Y	A2	17.6771	$945.97	
15003		Wound prep addl 100 cm	N	N1			
15004		Wound prep f/n/hf/g	Y	A2	6.088	$325.79	
15005		Wnd prep f/n/hf/g addl cm	N	N1			
15040		Harvest cultured skin graft	Y	A2	17.6771	$945.97	
15050		Pinch graft up to 2 cm diam	Y	A2	6.088	$325.79	
15100		Skin splt grft trnk/arm/leg	Y	A2	17.6771	$945.97	
15101		Skin splt grft t/a/l add-on	N	N1			
15110		Epidrm autogrft trnk/arm/leg	Y	A2	17.6771	$945.97	
15111		Epidrm autogrft t/a/l add-on	N	N1			
15115		Epidrm a-grft face/nck/hf/g	Y	A2	17.6771	$945.97	
15116		Epidrm a-grft f/n/hf/g addl	N	N1			
15120		Skn splt a-grft fac/nck/hf/g	Y	A2	34.7764	"$1,861.02"	
15121		Skn splt a-grft f/n/hf/g add	N	N1			
15130		Derm autograft trnk/arm/leg	Y	A2	17.6771	$945.97	
15131		Derm autograft t/a/l add-on	N	N1			
15135		Derm autograft face/nck/hf/g	Y	A2	34.7764	"$1,861.02"	
15136		Derm autograft f/n/hf/g add	N	N1			
15150		Cult skin grft t/arm/leg	Y	A2	17.6771	$945.97	
15151		Cult skin grft t/a/l addl	N	N1			
15152		Cult skin graft t/a/l +%	N	N1			
15155		Cult skin graft f/n/hf/g	Y	A2	34.7764	"$1,861.02"	
15156		Cult skin grft f/n/hfg add	N	N1			
15157		Cult epiderm grft f/n/hfg +%	N	N1			
15200		Fth grf fr trnk 20 sq cm/<	Y	A2	17.6771	$945.97	
15201		Fth grf fr trnk each addl	N	N1			
15220		Fth grf fr s/a/l 20 sq cm/<	Y	A2	17.6771	$945.97	
15221		Fth grf fr s/a/l each addl	N	N1			
15240		Fth gr fr f/c/c/m/n/ax/g/h/f	Y	A2	17.6771	$945.97	
15241		Fth gr f/c/c/m/n/ax/g/h/f ea	N	N1			
15260		Fth grf fr n/e/e/l 20 sqcm/<	Y	A2	17.6771	$945.97	
15261		Fth grf fr n/e/e/l each addl	N	N1			
15271		Skin sub graft trnk/arm/leg	Y	G2	17.6771	$945.97	
15272		Skin sub graft t/a/l add-on	N	N1			
15273		Skin sub grft t/arm/lg child	Y	G2	34.7764	"$1,861.02"	
15274		Skn sub grft t/a/l child add	N	N1			
15275		Skin sub graft face/nk/hf/g	Y	P3		$90.05	
15276		Skin sub graft f/n/hf/g addl	N	N1			
15277		Skn sub grft f/n/hf/g child	Y	G2	17.6771	$945.97	
15278		Skn sub grft f/n/hf/g ch add	N	N1			
15570		Skin pedicle flap trunk	Y	A2	17.6771	$945.97	
15572		Skin pedicle flap arms/legs	Y	A2	34.7764	"$1,861.02"	
15574		Pedcle fh/ch/ch/m/n/ax/g/h/f	Y	A2	17.6771	$945.97	
15576		Pedicle e/n/e/l/ntroral	Y	A2	17.6771	$945.97	
15600		Delay flap trunk	Y	A2	34.7764	"$1,861.02"	
15610		Delay flap arms/legs	Y	A2	17.6771	$945.97	
15620		Delay flap f/c/c/n/ax/g/h/f	Y	A2	17.6771	$945.97	
15630		Delay flap eye/nos/ear/lip	Y	A2	17.6771	$945.97	
15650		Transfer skin pedicle flap	Y	A2	17.6771	$945.97	
15730		Mdfc flap w/prsrv vasc pedcl	Y	G2	34.7764	"$1,861.02"	
15731		Forehead flap w/vasc pedicle	Y	A2	34.7764	"$1,861.02"	
15733		Musc myoq/fscq flp h&n pedcl	Y	A2	34.7764	"$1,861.02"	
15734		Muscle-skin graft trunk	Y	A2	34.7764	"$1,861.02"	
15736		Muscle-skin graft arm	Y	A2	17.6771	$945.97	
15738		Muscle-skin graft leg	Y	A2	34.7764	"$1,861.02"	
15740		Island pedicle flap graft	Y	A2	17.6771	$945.97	
15750		Neurovascular pedicle flap	Y	A2	34.7764	"$1,861.02"	
15760		Composite skin graft	Y	A2	17.6771	$945.97	
15769		Grfg autol soft tiss dir exc	Y	G2	34.7764	"$1,861.02"	
15770		Derma-fat-fascia graft	Y	A2	34.7764	"$1,861.02"	
15771		Grfg autol fat lipo 50 cc/<	Y	G2	34.7764	"$1,861.02"	
15773		Grfg autol fat lipo 25 cc/<	Y	G2	17.6771	$945.97	
15775		Hair trnspl 1-15 punch grfts	Y	A2	3.8652	$206.84	
15776		Hair trnspl >15 punch grafts	Y	A2	3.8652	$206.84	
15777		Acellular derm matrix implt	N	N1			
15780		Dermabrasion total face	Y	P3		$519.00	
15781		Dermabrasion segmental face	Y	P3		$338.58	
